Estado,Ingresos_personales_2018
"Knox, KY",898019
"Larue, KY",523138
"Laurel, KY",2026843
"Lawrence, KY",490995
"Lee, KY",208409
"Leslie, KY",331604
"Letcher, KY",667739
"Lewis, KY",409674
"Lincoln, KY",778368
"Livingston, KY",338811
"Logan, KY",938297
"Lyon, KY",291874
"McCracken, KY",2990121
"McCreary, KY",447666
"McLean, KY",360106
"Madison, KY",3229165
"Magoffin, KY",387683
"Marion, KY",698762
"Marshall, KY",1255186
"Martin, KY",331555
"Mason, KY",668280
"Meade, KY",1121275
"Menifee, KY",193552
"Mercer, KY",790925
"Metcalfe, KY",308771
"Monroe, KY",384925
"Montgomery, KY",963699
"Morgan, KY",358231
"Muhlenberg, KY",1032929
"Nelson, KY",1939348
"Nicholas, KY",244793
"Ohio, KY",781942
"Oldham, KY",4216015
"Owen, KY",362935
"Owsley, KY",139708
"Pendleton, KY",634465
"Perry, KY",985430
"Pike, KY",2120686
"Powell, KY",390811
"Pulaski, KY",2374181
"Robertson, KY",69584
"Rockcastle, KY",516260
"Rowan, KY",752847
"Russell, KY",629507
"Scott, KY",2404216
"Shelby, KY",2162097
"Simpson, KY",681743
"Spencer, KY",836075
"Taylor, KY",863630
"Todd, KY",441932
"Trigg, KY",528571
"Trimble, KY",325128
"Union, KY",482489
"Warren, KY",4840740
"Washington, KY",447759
"Wayne, KY",585762
"Webster, KY",498023
"Whitley, KY",1192113
"Wolfe, KY",222907
"Woodford, KY",1328563
"Acadia, LA",2289430
"Allen, LA",859571
"Ascension, LA",6212119
"Assumption, LA",1040205
"Avoyelles, LA",1504460
"Beauregard, LA",1577642
"Bienville, LA",501960
"Bossier, LA",5565922
"Caddo, LA",11649616
"Calcasieu, LA",9790967
"Caldwell, LA",327135
"Cameron, LA",324637
"Catahoula, LA",307255
"Claiborne, LA",523122
"Concordia, LA",625009
"De Soto, LA",1117111
"East Baton Rouge, LA",22543798
"East Carroll, LA",235192
"East Feliciana, LA",793113
"Evangeline, LA",1080520
"Franklin, LA",623953
"Grant, LA",688990
"Iberia, LA",2737574
"Iberville, LA",1331122
"Jackson, LA",528468
"Jefferson, LA",21587205
"Jefferson Davis, LA",1300489
"Lafayette, LA",11772203
"Lafourche, LA",4201387
"LaSalle, LA",468516
"Lincoln, LA",1847251
"Livingston, LA",5861307
"Madison, LA",344759
"Morehouse, LA",934721
"Natchitoches, LA",1504398
"Orleans, LA",19841363
"Ouachita, LA",6294356
"Plaquemines, LA",1104660
"Pointe Coupee, LA",1003981
"Rapides, LA",5743692
"Red River, LA",373933
"Richland, LA",744831
"Sabine, LA",827997
"St. Bernard, LA",1470304
"St. Charles, LA",2552285
"St. Helena, LA",437642
"St. James, LA",1063194
"St. John the Baptist, LA",1731017
"St. Landry, LA",3290953
"St. Martin, LA",2021423
"St. Mary, LA",1950877
"St. Tammany, LA",16571567
"Tangipahoa, LA",5031470
"Tensas, LA",164590
"Terrebonne, LA",4545232
"Union, LA",884617
"Vermilion, LA",2326682
"Vernon, LA",1964442
"Washington, LA",1548635
"Webster, LA",1529112
"West Baton Rouge, LA",1237439
"West Carroll, LA",375855
"West Feliciana, LA",585435
"Winn, LA",502045
"Androscoggin, ME",4383681
"Aroostook, ME",2748541
"Cumberland, ME",18072295
"Franklin, ME",1145498
"Hancock, ME",2738026
"Kennebec, ME",5394251
"Knox, ME",1951599
"Lincoln, ME",1692742
"Oxford, ME",2165961
"Penobscot, ME",6265546
"Piscataquis, ME",642994
"Sagadahoc, ME",1799832
"Somerset, ME",1883836
"Waldo, ME",1625690
"Washington, ME",1229019
"York, ME",10723670
"Allegany, MD",2779673
"Anne Arundel, MD",37926143
"Baltimore, MD",48923898
"Calvert, MD",5610589
"Caroline, MD",1486974
"Carroll, MD",10249171
"Cecil, MD",4851096
"Charles, MD",8989039
"Dorchester, MD",1428364
"Frederick, MD",15642812
"Garrett, MD",1269814
"Harford, MD",14586763
"Howard, MD",24328471
"Kent, MD",1129485
"Montgomery, MD",88559517
"Prince George's, MD",43924918
"Queen Anne's, MD",3140397
"St. Mary's, MD",6320851
"Somerset, MD",769623
"Talbot, MD",2568460
"Washington, MD",6849789
"Wicomico, MD",4130589
"Worcester, MD",2876205
"Baltimore (Independent City), MD",29488648
"Barnstable, MA",15199571
"Berkshire, MA",7030940
"Bristol, MA",29862711
"Dukes, MA",1488284
"Essex, MA",52519700
"Franklin, MA",3813355
"Hampden, MA",23827167
"Hampshire, MA",8353428
"Middlesex, MA",132548705
"Nantucket, MA",1187728
"Norfolk, MA",63488997
"Plymouth, MA",34272297
"Suffolk, MA",64197669
"Worcester, MA",46163888
"Alcona, MI",399222
"Alger, MI",301259
"Allegan, MI",5248982
"Alpena, MI",1136033
"Antrim, MI",1073932
"Arenac, MI",557477
"Baraga, MI",267658
"Barry, MI",2709118
"Bay, MI",4366150
"Benzie, MI",774163
"Berrien, MI",7256430
"Branch, MI",1571074
"Calhoun, MI",5218461
"Cass, MI",2292279
"Charlevoix, MI",1355410
"Cheboygan, MI",984216
"Chippewa, MI",1248896
"Clare, MI",1050783
"Clinton, MI",3616283
"Crawford, MI",476646
"Delta, MI",1408804
"Dickinson, MI",1217407
"Eaton, MI",4600043
"Emmet, MI",1847516
"Genesee, MI",16359898
"Gladwin, MI",921662
"Gogebic, MI",592077
"Grand Traverse, MI",4635569
"Gratiot, MI",1485654
"Hillsdale, MI",1609188
"Houghton, MI",1329549
"Huron, MI",1392326
"Ingham, MI",11534679
"Ionia, MI",2224135
"Iosco, MI",919292
"Iron, MI",484095
"Isabella, MI",2449317
"Jackson, MI",6215612
"Kalamazoo, MI",12650367
"Kalkaska, MI",618703
"Kent, MI",34005399
"Keweenaw, MI",96260
"Lake, MI",389502
"Lapeer, MI",3807734
"Leelanau, MI",1427979
"Lenawee, MI",3863269
"Livingston, MI",10997749
"Luce, MI",192390
"Mackinac, MI",460618
"Macomb, MI",40258412
"Manistee, MI",955699
"Marquette, MI",2581354
"Mason, MI",1168651
"Mecosta, MI",1437598
"Menominee, MI",972983
"Midland, MI",4424672
"Missaukee, MI",521346
"Monroe, MI",7068994
"Montcalm, MI",2182572
"Montmorency, MI",339299
"Muskegon, MI",6594984
"Newaygo, MI",1805383
"Oakland, MI",89322345
"Oceana, MI",991222
"Ogemaw, MI",720365
"Ontonagon, MI",225616
"Osceola, MI",837802
"Oscoda, MI",276089
"Otsego, MI",985909
"Ottawa, MI",13938739
"Presque Isle, MI",504116
"Roscommon, MI",854493
"Saginaw, MI",7542602
"St. Clair, MI",6986071
"St. Joseph, MI",2292800
"Sanilac, MI",1536795
"Schoolcraft, MI",317121
"Shiawassee, MI",2663756
"Tuscola, MI",1928968
"Van Buren, MI",3051970
"Washtenaw, MI",21650159
"Wayne, MI",74427745
"Wexford, MI",1200118
"Aitkin, MN",633869
"Anoka, MN",18035585
"Becker, MN",1596747
"Beltrami, MN",1922130
"Benton, MN",1776897
"Big Stone, MN",256597
"Blue Earth, MN",2999839
"Brown, MN",1299821
"Carlton, MN",1524465
"Carver, MN",7383477
"Cass, MN",1367473
"Chippewa, MN",552061
"Chisago, MN",2714144
"Clay, MN",2707125
"Clearwater, MN",381861
"Cook, MN",288065
"Cottonwood, MN",521307
"Crow Wing, MN",2861120
"Dakota, MN",25598935
"Dodge, MN",947856
"Douglas, MN",1933191
"Faribault, MN",558841
"Fillmore, MN",918660
"Freeborn, MN",1347357
"Goodhue, MN",2454266
"Grant, MN",274545
"Hennepin, MN",92981028
"Houston, MN",935750
"Hubbard, MN",1018616
"Isanti, MN",1768263
"Itasca, MN",1970119
"Jackson, MN",499486
"Kanabec, MN",676483
"Kandiyohi, MN",2215970
"Kittson, MN",209004
"Koochiching, MN",521466
"Lac qui Parle, MN",322171
"Lake, MN",509675
"Lake of the Woods, MN",203183
"Le Sueur, MN",1390353
"Lincoln, MN",247572
"Lyon, MN",1231648
"McLeod, MN",1719906
"Mahnomen, MN",190807
"Marshall, MN",486518
"Martin, MN",1002363
"Meeker, MN",1013335
"Mille Lacs, MN",1089561
"Morrison, MN",1396184
"Mower, MN",1819833
"Murray, MN",414995
"Nicollet, MN",1652081
"Nobles, MN",945462
"Norman, MN",241371
"Olmsted, MN",9032231
"Otter Tail, MN",2735517
"Pennington, MN",783098
"Pine, MN",1088930
"Pipestone, MN",486744
"Polk, MN",1438122
"Pope, MN",547770
"Ramsey, MN",29289607
"Red Lake, MN",196454
"Redwood, MN",734683
"Renville, MN",719448
"Rice, MN",2896198
"Rock, MN",471353
"Roseau, MN",740471
"St. Louis, MN",9321767
"Scott, MN",9039010
"Sherburne, MN",4480640
"Sibley, MN",688204
"Stearns, MN",7341309
"Steele, MN",1685816
"Stevens, MN",441860
"Swift, MN",446488
"Todd, MN",1030682
"Traverse, MN",171671
"Wabasha, MN",1022838
"Wadena, MN",538958
"Waseca, MN",779281
"Washington, MN",17330068
"Watonwan, MN",473289
"Wilkin, MN",326200
"Winona, MN",2379461
"Wright, MN",6885962
"Yellow Medicine, MN",491217
"Adams, MS",1043024
"Alcorn, MS",1322156
"Amite, MS",428923
"Attala, MS",600411
"Benton, MS",252978
"Bolivar, MS",1178929
"Calhoun, MS",458861
"Carroll, MS",372801
"Chickasaw, MS",562886
"Choctaw, MS",269285
"Claiborne, MS",277929
"Clarke, MS",582470
"Clay, MS",683009
"Coahoma, MS",781263
"Copiah, MS",934313
"Covington, MS",698104
"DeSoto, MS",7548646
"Forrest, MS",2856034
"Franklin, MS",261226
"George, MS",805913
"Greene, MS",390834
"Grenada, MS",744358
"Hancock, MS",1631315
"Harrison, MS",7568718
"Hinds, MS",9002593
"Holmes, MS",493686
"Humphreys, MS",259209
"Issaquena, MS",28222
"Itawamba, MS",826537
"Jackson, MS",5293604
"Jasper, MS",644855
"Jefferson, MS",244004
"Jefferson Davis, MS",340894
"Jones, MS",2561652
"Kemper, MS",282283
"Lafayette, MS",2259397
"Lamar, MS",2469615
"Lauderdale, MS",2827983
"Lawrence, MS",432443
"Leake, MS",723594
"Lee, MS",3484293
"Leflore, MS",1049870
"Lincoln, MS",1312655
"Lowndes, MS",2231386
"Madison, MS",6670718
"Marion, MS",928810
"Marshall, MS",1171368
"Monroe, MS",1235938
"Montgomery, MS",334445
"Neshoba, MS",1045476
"Newton, MS",746286
"Noxubee, MS",329425
"Oktibbeha, MS",1684067
"Panola, MS",1110414
"Pearl River, MS",2006405
"Perry, MS",390074
"Pike, MS",1206972
"Pontotoc, MS",1043716
"Prentiss, MS",757630
"Quitman, MS",201131
"Rankin, MS",6841859
"Scott, MS",884853
"Sharkey, MS",142333
"Simpson, MS",985033
"Smith, MS",571825
"Stone, MS",594946
"Sunflower, MS",786093
"Tallahatchie, MS",404018
"Tate, MS",1002240
"Tippah, MS",804647
"Tishomingo, MS",649553
"Tunica, MS",317127
"Union, MS",908163
"Walthall, MS",455239
"Warren, MS",1821669
"Washington, MS",1646992
"Wayne, MS",710142
"Webster, MS",366616
"Wilkinson, MS",256735
"Winston, MS",629678
"Yalobusha, MS",455297
"Yazoo, MS",796750
"Adair, MO",813545
"Andrew, MO",751798
"Atchison, MO",195702
"Audrain, MO",924434
"Barry, MO",1258745
"Barton, MO",404735
"Bates, MO",619092
"Benton, MO",715208
"Bollinger, MO",391448
"Boone, MO",8276326
"Buchanan, MO",3352983
"Butler, MO",1493397
"Caldwell, MO",335748
"Callaway, MO",1661426
"Camden, MO",1714920
"Cape Girardeau, MO",3495007
"Carroll, MO",363494
"Carter, MO",189259
"Cass, MO",4880428
"Cedar, MO",432140
"Chariton, MO",302775
"Christian, MO",3510811
"Clark, MO",228110
"Clay, MO",11732598
"Clinton, MO",847871
"Cole, MO",3505609
"Cooper, MO",669137
"Crawford, MO",839653
"Dade, MO",254655
"Dallas, MO",550112
"Daviess, MO",264621
"DeKalb, MO",348185
"Dent, MO",507390
"Douglas, MO",362450
"Dunklin, MO",999177
"Franklin, MO",4555703
"Gasconade, MO",575188
"Gentry, MO",264904
"Greene, MO",12686879
"Grundy, MO",335162
"Harrison, MO",287829
"Henry, MO",888968
"Hickory, MO",271169
"Holt, MO",189880
"Howard, MO",385416
"Howell, MO",1350281
"Iron, MO",333117
"Jackson, MO",32218446
"Jasper, MO",4861421
"Jefferson, MO",9445766
"Johnson, MO",1961598
"Knox, MO",127468
"Laclede, MO",1270453
"Lafayette, MO",1348748
"Lawrence, MO",1298498
"Lewis, MO",337752
"Lincoln, MO",2305581
"Linn, MO",456207
"Livingston, MO",564716
"McDonald, MO",662598
"Macon, MO",617052
"Madison, MO",432317
"Maries, MO",283230
"Marion, MO",1136217
"Mercer, MO",111177
"Miller, MO",889683
"Mississippi, MO",394652
"Moniteau, MO",567995
"Monroe, MO",334269
"Montgomery, MO",450605
"Morgan, MO",831816
"New Madrid, MO",568287
"Newton, MO",2230013
"Nodaway, MO",679877
"Oregon, MO",308469
"Osage, MO",591547
"Ozark, MO",276643
"Pemiscot, MO",551500
"Perry, MO",786924
"Pettis, MO",1562565
"Phelps, MO",1724403
"Pike, MO",611149
"Platte, MO",5868216
"Polk, MO",1089991
"Pulaski, MO",2067014
"Putnam, MO",162256
"Ralls, MO",388814
"Randolph, MO",948991
"Ray, MO",953558
"Reynolds, MO",210050
"Ripley, MO",402957
"St. Charles, MO",21215292
"St. Clair, MO",272784
"Ste. Genevieve, MO",729255
"St. Francois, MO",2259916
"St. Louis, MO",70135028
"Saline, MO",822627
"Schuyler, MO",133969
"Scotland, MO",159071
"Scott, MO",1527739
"Shannon, MO",244387
"Shelby, MO",225143
"Stoddard, MO",1009805
"Stone, MO",1217679
"Sullivan, MO",225777
"Taney, MO",1997412
"Texas, MO",713727
"Vernon, MO",697652
"Warren, MO",1441077
"Washington, MO",734807
"Wayne, MO",381563
"Webster, MO",1262410
"Worth, MO",67430
"Wright, MO",581496
"St. Louis (Independent City), MO",13819285
"Beaverhead, MT",418522
"Big Horn, MT",393777
"Blaine, MT",200512
"Broadwater, MT",256331
"Carbon, MT",541182
"Carter, MT",48671
"Cascade, MT",3853259
"Chouteau, MT",217732
"Custer, MT",507842
"Daniels, MT",81399
"Dawson, MT",405563
"Deer Lodge, MT",353578
"Fallon, MT",140975
"Fergus, MT",460443
"Flathead, MT",4870019
"Gallatin, MT",6277200
"Garfield, MT",42742
"Glacier, MT",474079
"Golden Valley, MT",40011
"Granite, MT",144156
"Hill, MT",734166
"Jefferson, MT",571244
"Judith Basin, MT",89691
"Lake, MT",1178345
"Lewis and Clark, MT",3307268
"Liberty, MT",92692
"Lincoln, MT",712840
"McCone, MT",60582
"Madison, MT",432176
"Meagher, MT",78869
"Mineral, MT",169601
"Missoula, MT",5810701
"Musselshell, MT",201353
"Park, MT",820324
"Petroleum, MT",16169
"Phillips, MT",159115
"Pondera, MT",255398
"Powder River, MT",55805
"Powell, MT",283978
"Prairie, MT",50476
"Ravalli, MT",1935119
"Richland, MT",647632
"Roosevelt, MT",407931
"Rosebud, MT",392761
"Sanders, MT",416750
"Sheridan, MT",157589
"Silver Bow, MT",1623707
"Stillwater, MT",497922
"Sweet Grass, MT",169685
"Teton, MT",277473
"Toole, MT",238479
"Treasure, MT",32345
"Valley, MT",335743
"Wheatland, MT",75641
"Wibaux, MT",38106
"Yellowstone, MT",8296351
"Adams, NE",1491971
"Antelope, NE",319575
"Arthur, NE",19088
"Banner, NE",34892
"Blaine, NE",26345
"Boone, NE",267991
"Box Butte, NE",512979
"Boyd, NE",99161
"Brown, NE",147990
"Buffalo, NE",2702927
"Burt, NE",289847
"Butler, NE",375884
"Cass, NE",1329802
"Cedar, NE",406197
"Chase, NE",206148
"Cherry, NE",244736
"Cheyenne, NE",446871
"Clay, NE",296284
"Colfax, NE",441323
"Cuming, NE",513338
"Custer, NE",488728
"Dakota, NE",827664
"Dawes, NE",319808
"Dawson, NE",993299
"Deuel, NE",73648
"Dixon, NE",229059
"Dodge, NE",1686473
"Douglas, NE",35047400
"Dundy, NE",109978
"Fillmore, NE",299165
"Franklin, NE",138338
"Frontier, NE",98397
"Furnas, NE",196631
"Gage, NE",1003749
"Garden, NE",80951
"Garfield, NE",77207
"Gosper, NE",91483
"Grant, NE",27779
"Greeley, NE",108868
"Hall, NE",2623403
"Hamilton, NE",484238
"Harlan, NE",160716
"Hayes, NE",49859
"Hitchcock, NE",103363
"Holt, NE",512499
"Hooker, NE",32145
"Howard, NE",275190
"Jefferson, NE",326047
"Johnson, NE",169311
"Kearney, NE",340631
"Keith, NE",366608
"Keya Paha, NE",36618
"Kimball, NE",157007
"Knox, NE",374991
"Lancaster, NE",15433711
"Lincoln, NE",1670396
"Logan, NE",37101
"Loup, NE",33092
"McPherson, NE",19318
"Madison, NE",1711794
"Merrick, NE",330149
"Morrill, NE",244079
"Nance, NE",123891
"Nemaha, NE",320682
"Nuckolls, NE",206996
"Otoe, NE",833265
"Pawnee, NE",110870
"Perkins, NE",155135
"Phelps, NE",448830
"Pierce, NE",366309
"Platte, NE",1520893
"Polk, NE",260728
"Red Willow, NE",471337
"Richardson, NE",372827
"Rock, NE",76822
"Saline, NE",593432
"Sarpy, NE",9332647
"Saunders, NE",1084021
"Scotts Bluff, NE",1585472
"Seward, NE",854229
"Sheridan, NE",235153
"Sherman, NE",122984
"Sioux, NE",62069
"Stanton, NE",256630
"Thayer, NE",255828
"Thomas, NE",37945
"Thurston, NE",256505
"Valley, NE",197703
"Washington, NE",1116255
"Wayne, NE",390208
"Webster, NE",155299
"Wheeler, NE",43323
"York, NE",655223
"Churchill, NV",1097591
"Clark, NV",104221369
"Douglas, NV",3477177
"Elko, NV",2432170
"Esmeralda, NV",31550
"Eureka, NV",76030
"Humboldt, NV",769821
"Lander, NV",362399
"Lincoln, NV",192432
"Lyon, NV",2177705
"Mineral, NV",170949
"Nye, NV",1738345
"Pershing, NV",214084
"Storey, NV",234675
"Washoe, NV",28032257
"White Pine, NV",421660
"Carson City (Independent City), NV",2757916
"Belknap, NH",3725775
"Carroll, NH",2855413
"Cheshire, NH",3899773
"Coos, NH",1364169
"Grafton, NH",5430258
"Hillsborough, NH",24993383
"Merrimack, NH",8581545
"Rockingham, NH",22712223
"Strafford, NH",6532347
"Sullivan, NH",2258844
"Atlantic, NJ",12619513
"Bergen, NJ",78821904
"Burlington, NJ",27081703
"Camden, NJ",26850242
"Cape May, NJ",5542473
"Cumberland, NJ",5885069
"Essex, NJ",50534850
"Gloucester, NJ",15877715
"Hudson, NJ",43335608
"Hunterdon, NJ",10943878
"Mercer, NJ",25257430
"Middlesex, NJ",49764242
"Monmouth, NJ",48923699
"Morris, NJ",47571689
"Ocean, NJ",30901886
"Passaic, NJ",24609957
"Salem, NJ",2967112
"Somerset, NJ",33057139
"Sussex, NJ",8638286
"Union, NJ",36934777
"Warren, NJ",5791238
"Bernalillo, NM",29242032
"Catron, NM",113761
"Chaves, NM",2505750
"Cibola, NM*",743626
"Colfax, NM",480635
"Curry, NM",2057288
"De Baca, NM",80523
"Doña Ana, NM",7740464
"Eddy, NM",3135226
"Grant, NM",1106010
"Guadalupe, NM",146792
"Harding, NM",25181
"Hidalgo, NM",175324
"Lea, NM",3264191
"Lincoln, NM",788844
"Los Alamos, NM",1335105
"Luna, NM",749976
"McKinley, NM",1966532
"Mora, NM",171587
"Otero, NM",2293518
"Quay, NM",318207
"Rio Arriba, NM",1364333
"Roosevelt, NM",733123
"Sandoval, NM",6059536
"San Juan, NM",4442751
"San Miguel, NM",958257
"Santa Fe, NM",8725165
"Sierra, NM",421257
"Socorro, NM",562509
"Taos, NM",1238071
"Torrance, NM",490822
"Union, NM",141434
"Valencia, NM*",2601642
"Albany, NY",18084599
"Allegany, NY",1861874
"Bronx, NY",50975925
"Broome, NY",8292494
"Cattaraugus, NY",2980621
"Cayuga, NY",3211587
"Chautauqua, NY",5041755
"Chemung, NY",3670532
"Chenango, NY",1882620
"Clinton, NY",3453111
"Columbia, NY",3265569
"Cortland, NY",1916097
"Delaware, NY",1731791
"Dutchess, NY",16245178
"Erie, NY",45947707
"Essex, NY",1683473
"Franklin, NY",1859561
"Fulton, NY",2271035
"Genesee, NY",2483008
"Greene, NY",2207068
"Hamilton, NY",239208
"Herkimer, NY",2504675
"Jefferson, NY",5181000
"Kings, NY",132232929
"Lewis, NY",1175232
"Livingston, NY",2857819
"Madison, NY",3084658
"Monroe, NY",38505593
"Montgomery, NY",1991072
"Nassau, NY",119231077
"New York, NY",293583447
"Niagara, NY",9322357
"Oneida, NY",10036052
"Onondaga, NY",24093733
"Ontario, NY",5795967
"Orange, NY",19472943
"Orleans, NY",1546603
"Oswego, NY",4668060
"Otsego, NY",2586977
"Putnam, NY",6553512
"Queens, NY",111124602
"Rensselaer, NY",7717829
"Richmond, NY",26371273
"Rockland, NY",19362793
"St. Lawrence, NY",4056868
"Saratoga, NY",15936478
"Schenectady, NY",7514917
"Schoharie, NY",1267202
"Schuyler, NY",732542
"Seneca, NY",1308923
"Steuben, NY",4268529
"Suffolk, NY",101608550
"Sullivan, NY",3440854
"Tioga, NY",2161963
"Tompkins, NY",4520920
"Ulster, NY",8897244
"Warren, NY",3337649
"Washington, NY",2441233
"Wayne, NY",4101592
"Westchester, NY",102211565
"Wyoming, NY",1592432
"Yates, NY",964529
"Alamance, NC",6562167
"Alexander, NC",1351957
"Alleghany, NC",407474
"Anson, NC",852420
"Ashe, NC",941712
"Avery, NC",619669
"Beaufort, NC",1944377
"Bertie, NC",668093
"Bladen, NC",1118469
"Brunswick, NC",6053028
"Buncombe, NC",12585927
"Burke, NC",3122218
"Cabarrus, NC",9561175
"Caldwell, NC",2853879
"Camden, NC",469110
"Carteret, NC",3380511
"Caswell, NC",778108
"Catawba, NC",7010983
"Chatham, NC",4560054
"Cherokee, NC",909429
"Chowan, NC",562442
"Clay, NC",368281
"Cleveland, NC",3582515
"Columbus, NC",1765732
"Craven, NC",4437303
"Cumberland, NC",12570946
"Currituck, NC",1225820
"Dare, NC",1985845
"Davidson, NC",6470383
"Davie, NC",2018416
"Duplin, NC",1942215
"Durham, NC",15667473
"Edgecombe, NC",1781308
"Forsyth, NC",17671702
"Franklin, NC",2424597
"Gaston, NC",8823284
"Gates, NC",422383
"Graham, NC",278478
"Granville, NC",2277576
"Greene, NC",635523
"Guilford, NC",23963510
"Halifax, NC",1783564
"Harnett, NC",4588325
"Haywood, NC",2447058
"Henderson, NC",5036915
"Hertford, NC",740759
"Hoke, NC",1704670
"Hyde, NC",179111
"Iredell, NC",9075381
"Jackson, NC",1440830
"Johnston, NC",8103089
"Jones, NC",359294
"Lee, NC",2480541
"Lenoir, NC",2188951
"Lincoln, NC",3822907
"McDowell, NC",1547092
"Macon, NC",1378884
"Madison, NC",730218
"Martin, NC",759559
"Mecklenburg, NC",66081094
"Mitchell, NC",536240
"Montgomery, NC",956693
"Moore, NC",4958566
"Nash, NC",3884089
"New Hanover, NC",10636863
"Northampton, NC",657059
"Onslow, NC",8604445
"Orange, NC",9134404
"Pamlico, NC",517560
"Pasquotank, NC",1494013
"Pender, NC",2311027
"Perquimans, NC",525067
"Person, NC",1469265
"Pitt, NC",7331644
"Polk, NC",914682
"Randolph, NC",5319122
"Richmond, NC",1526696
"Robeson, NC",3782832
"Rockingham, NC",3302233
"Rowan, NC",5374601
"Rutherford, NC",2133836
"Sampson, NC",2121104
"Scotland, NC",1118454
"Stanly, NC",2383388
"Stokes, NC",1690278
"Surry, NC",2712724
"Swain, NC",546584
"Transylvania, NC",1395330
"Tyrrell, NC",121279
"Union, NC",12334506
"Vance, NC",1493578
"Wake, NC",65358983
"Warren, NC",578166
"Washington, NC",406084
"Watauga, NC",2045581
"Wayne, NC",4648856
"Wilkes, NC",2486503
"Wilson, NC",3164188
"Yadkin, NC",1390478
"Yancey, NC",651531
"Adams, ND",107588
"Barnes, ND",550443
"Benson, ND",251880
"Billings, ND",70995
"Bottineau, ND",394993
"Bowman, ND",186276
"Burke, ND",155982
"Burleigh, ND",5649017
"Cass, ND",10338557
"Cavalier, ND",289580
"Dickey, ND",269910
"Divide, ND",117912
"Dunn, ND",269973
"Eddy, ND",136212
"Emmons, ND",161181
"Foster, ND",196377
"Golden Valley, ND",66973
"Grand Forks, ND",3609421
"Grant, ND",101815
"Griggs, ND",130128
"Hettinger, ND",122680
"Kidder, ND",125934
"LaMoure, ND",216322
"Logan, ND",100720
"McHenry, ND",308073
"McIntosh, ND",143345
"McKenzie, ND",911816
"McLean, ND",558127
"Mercer, ND",486194
"Morton, ND",1637165
"Mountrail, ND",642592
"Nelson, ND",175301
"Oliver, ND",86797
"Pembina, ND",406023
"Pierce, ND",206625
"Ramsey, ND",567104
"Ransom, ND",283794
"Renville, ND",177710
"Richland, ND",804715
"Rolette, ND",514816
"Sargent, ND",213662
"Sheridan, ND",64340
"Sioux, ND",121725
"Slope, ND",30977
"Stark, ND",1913755
"Steele, ND",106033
"Stutsman, ND",1071471
"Towner, ND",153194
"Traill, ND",402835
"Walsh, ND",544604
"Ward, ND",3694609
"Wells, ND",232229
"Williams, ND",2485400
"Adams, OH",956272
"Allen, OH",4306723
"Ashland, OH",2054207
"Ashtabula, OH",3755094
"Athens, OH",2169786
"Auglaize, OH",2205322
"Belmont, OH",2860251
"Brown, OH",1621100
"Butler, OH",17949651
"Carroll, OH",1058938
"Champaign, OH",1592200
"Clark, OH",5367720
"Clermont, OH",10839180
"Clinton, OH",1866889
"Columbiana, OH",3878594
"Coshocton, OH",1279693
"Crawford, OH",1592911
"Cuyahoga, OH",66747602
"Darke, OH",2233182
"Defiance, OH",1542706
"Delaware, OH",15168066
"Erie, OH",4346850
"Fairfield, OH",7172576
"Fayette, OH",1094995
"Franklin, OH",64857553
"Fulton, OH",1903422
"Gallia, OH",1171935
"Geauga, OH",6426518
"Greene, OH",8360404
"Guernsey, OH",1569061
"Hamilton, OH",47758645
"Hancock, OH",3798294
"Hardin, OH",1027969
"Harrison, OH",581194
"Henry, OH",1195042
"Highland, OH",1548947
"Hocking, OH",1070765
"Holmes, OH",1945969
"Huron, OH",2344208
"Jackson, OH",1140792
"Jefferson, OH",2539526
"Knox, OH",2643592
"Lake, OH",11692930
"Lawrence, OH",2286031
"Licking, OH",8033367
"Logan, OH",1934339
"Lorain, OH",14252525
"Lucas, OH",19625097
"Madison, OH",1814753
"Mahoning, OH",9690856
"Marion, OH",2419234
"Medina, OH",10009347
"Meigs, OH",793565
"Mercer, OH",2154123
"Miami, OH",5010363
"Monroe, OH",483594
"Montgomery, OH",24560816
"Morgan, OH",479031
"Morrow, OH",1381976
"Muskingum, OH",3483368
"Noble, OH",389059
"Ottawa, OH",2110236
"Paulding, OH",758431
"Perry, OH",1342314
"Pickaway, OH",2363456
"Pike, OH",1040169
"Portage, OH",7136856
"Preble, OH",1627719
"Putnam, OH",1657700
"Richland, OH",4699237
"Ross, OH",2839081
"Sandusky, OH",2417134
"Scioto, OH",2910726
"Seneca, OH",2136318
"Shelby, OH",2163969
"Stark, OH",16486711
"Summit, OH",27419179
"Trumbull, OH",8033376
"Tuscarawas, OH",4009032
"Union, OH",3378997
"Van Wert, OH",1187966
"Vinton, OH",439970
"Warren, OH",13979092
"Washington, OH",2581873
"Wayne, OH",5152170
"Williams, OH",1506374
"Wood, OH",6130001
"Wyandot, OH",976155
"Adair, OK",644545
"Alfalfa, OK",225030
"Atoka, OK",439937
"Beaver, OK",282311
"Beckham, OK",833870
"Blaine, OK",394978
"Bryan, OK",1606931
"Caddo, OK",1039589
"Canadian, OK",6615555
"Carter, OK",2070231
"Cherokee, OK",1578982
"Choctaw, OK",455551
"Cimarron, OK",134045
"Cleveland, OK",12627061
"Coal, OK",198530
"Comanche, OK",4963335
"Cotton, OK",234806
"Craig, OK",532817
"Creek, OK",2890674
"Custer, OK",1153994
"Delaware, OK",1393104
"Dewey, OK",224127
