Estado,Ingresos_personales_2018
"Contra Costa, CA",91160536
"Del Norte, CA",967786
"El Dorado, CA",12509360
"Fresno, CA",40504743
"Glenn, CA",1206997
"Humboldt, CA",6029582
"Imperial, CA",6353010
"Inyo, CA",1024203
"Kern, CA",33813117
"Kings, CA",5296250
"Lake, CA",2625869
"Lassen, CA",1072008
"Los Angeles, CA",595765931
"Madera, CA",5815299
"Marin, CA",33770671
"Mariposa, CA",884466
"Mendocino, CA",4155689
"Merced, CA",10148451
"Modoc, CA",381904
"Mono, CA",663504
"Monterey, CA",23001148
"Napa, CA",9657020
"Nevada, CA",5821249
"Orange, CA",210648610
"Placer, CA",25586686
"Plumas, CA",926506
"Riverside, CA",96994918
"Sacramento, CA",78526608
"San Benito, CA",3094215
"San Bernardino, CA",83514331
"San Diego, CA",194949226
"San Francisco, CA",111996017
"San Joaquin, CA",32261357
"San Luis Obispo, CA",15708604
"San Mateo, CA",95143957
"Santa Barbara, CA",26706505
"Santa Clara, CA",207881196
"Santa Cruz, CA",17767743
"Shasta, CA",7976743
"Sierra, CA",127577
"Siskiyou, CA",1868074
"Solano, CA",21899263
"Sonoma, CA",30283557
"Stanislaus, CA",22792301
"Sutter, CA",4168235
"Tehama, CA",2512451
"Trinity, CA",482368
"Tulare, CA",17824523
"Tuolumne, CA",2411046
"Ventura, CA",50711842
"Yolo, CA",11304743
"Yuba, CA",3108945
"Adams, CO*",22068627
"Alamosa, CO",593717
"Arapahoe, CO",39833663
"Archuleta, CO",575691
"Baca, CO",147684
"Bent, CO",156471
"Boulder, CO*",23504502
"Broomfield, CO*",4744227
"Chaffee, CO",927978
"Cheyenne, CO",73745
"Clear Creek, CO",556287
"Conejos, CO",284173
"Costilla, CO",123567
"Crowley, CO",118781
"Custer, CO",199478
"Delta, CO",1121259
"Denver, CO",55200348
"Dolores, CO",74681
"Douglas, CO",24112813
"Eagle, CO",4457400
"Elbert, CO",1525438
"El Paso, CO",34353625
"Fremont, CO",1652790
"Garfield, CO",3425759
"Gilpin, CO",288667
"Grand, CO",812483
"Gunnison, CO",808270
"Hinsdale, CO",37367
"Huerfano, CO",266130
"Jackson, CO",76051
"Jefferson, CO*",36131039
"Kiowa, CO",61196
"Kit Carson, CO",257123
"Lake, CO",279649
"La Plata, CO",3144411
"Larimer, CO",18810826
"Las Animas, CO",548360
"Lincoln, CO",155067
"Logan, CO",967824
"Mesa, CO",6820162
"Mineral, CO",49761
"Moffat, CO",551385
"Montezuma, CO",1093755
"Montrose, CO",1720036
"Morgan, CO",1269997
"Otero, CO",651007
"Ouray, CO",297976
"Park, CO",796088
"Phillips, CO",179668
"Pitkin, CO",2669187
"Prowers, CO",469275
"Pueblo, CO",6326419
"Rio Blanco, CO",300205
"Rio Grande, CO",508748
"Routt, CO",1988338
"Saguache, CO",218867
"San Juan, CO",31918
"San Miguel, CO",682589
"Sedgwick, CO",90535
"Summit, CO",2127656
"Teller, CO",1222881
"Washington, CO",174572
"Weld, CO*",14980012
"Yuma, CO",414532
"Fairfield, CT",108026996
"Hartford, CT",55695477
"Litchfield, CT",11117423
"Middlesex, CT",10733173
"New Haven, CT",46564739
"New London, CT",15017232
"Tolland, CT",8234376
"Windham, CT",5192778
"Kent, DE",7543351
"New Castle, DE",31739200
"Sussex, DE",11867812
"District of Columbia, DC",56395716
"Alachua, FL",11921072
"Baker, FL",933027
"Bay, FL",7938513
"Bradford, FL",928237
"Brevard, FL",27177629
"Broward, FL",97821480
"Calhoun, FL",400011
"Charlotte, FL",7687884
"Citrus, FL",5598283
"Clay, FL",9303548
"Collier, FL",37355366
"Columbia, FL",2446334
"DeSoto, FL",893702
"Dixie, FL",473583
"Duval, FL",43431302
"Escambia, FL",13383957
"Flagler, FL",5243928
"Franklin, FL",430088
"Gadsden, FL",1564139
"Gilchrist, FL",608627
"Glades, FL",332203
"Gulf, FL",595566
"Hamilton, FL",384696
"Hardee, FL",728260
"Hendry, FL",1271143
"Hernando, FL",7019369
"Highlands, FL",3414167
"Hillsborough, FL",67375905
"Holmes, FL",600544
"Indian River, FL",12417377
"Jackson, FL",1577341
"Jefferson, FL",571566
"Lafayette, FL",215252
"Lake, FL",15235024
"Lee, FL",38954271
"Leon, FL",12875766
"Levy, FL",1470754
"Liberty, FL",206641
"Madison, FL",609836
"Manatee, FL",18830193
"Marion, FL",13361441
"Martin, FL",13321520
"Miami-Dade, FL",143041608
"Monroe, FL",7252161
"Nassau, FL",5192630
"Okaloosa, FL",10077483
"Okeechobee, FL",1269405
"Orange, FL",61507576
"Osceola, FL",12785240
"Palm Beach, FL",120535709
"Pasco, FL",22017809
"Pinellas, FL",51615878
"Polk, FL",25178791
"Putnam, FL",2393762
"St. Johns, FL",17835384
"St. Lucie, FL",12862441
"Santa Rosa, FL",8112444
"Sarasota, FL",28148117
"Seminole, FL",22963287
"Sumter, FL",6193965
"Suwannee, FL",1475909
"Taylor, FL",663862
"Union, FL",333662
"Volusia, FL",23192138
"Wakulla, FL",1199317
"Walton, FL",4504861
"Washington, FL",747602
"Appling, GA",626924
"Atkinson, GA",241611
"Bacon, GA",349552
"Baker, GA",112609
"Baldwin, GA",1455427
"Banks, GA",675703
"Barrow, GA",2960006
"Bartow, GA",4055909
"Ben Hill, GA",522168
"Berrien, GA",594812
"Bibb, GA",6136502
"Bleckley, GA",428562
"Brantley, GA",511896
"Brooks, GA",537834
"Bryan, GA",2026172
"Bulloch, GA",2488802
"Burke, GA",790566
"Butts, GA",823815
"Calhoun, GA",150281
"Camden, GA",1926479
"Candler, GA",345591
"Carroll, GA",4523710
"Catoosa, GA",2344143
"Charlton, GA",313514
"Chatham, GA",13555414
"Chattahoochee, GA",313172
"Chattooga, GA",751269
"Cherokee, GA",13150620
"Clarke, GA",4221632
"Clay, GA",93501
"Clayton, GA",7907296
"Clinch, GA",240311
"Cobb, GA",43649065
"Coffee, GA",1365268
"Colquitt, GA",1485810
"Columbia, GA",7642388
"Cook, GA",552348
"Coweta, GA",6886595
"Crawford, GA",415416
"Crisp, GA",723889
"Dade, GA",577369
"Dawson, GA",1146927
"Decatur, GA",948681
"DeKalb, GA",38827056
"Dodge, GA",625014
"Dooly, GA",408359
"Dougherty, GA",3038207
"Douglas, GA",5119087
"Early, GA",369116
"Echols, GA",109983
"Effingham, GA",2595017
"Elbert, GA",676085
"Emanuel, GA",714986
"Evans, GA",358473
"Fannin, GA",945842
"Fayette, GA",7439553
"Floyd, GA",3665617
"Forsyth, GA",14965247
"Franklin, GA",821108
"Fulton, GA",91555622
"Gilmer, GA",1091199
"Glascock, GA",97940
"Glynn, GA",3940686
"Gordon, GA",2003493
"Grady, GA",808153
"Greene, GA",1048977
"Gwinnett, GA",38727144
"Habersham, GA",1550969
"Hall, GA",8979337
"Hancock, GA",250689
"Haralson, GA",1070635
"Harris, GA",1636442
"Hart, GA",980417
"Heard, GA",369819
"Henry, GA",9055129
"Houston, GA",6595483
"Irwin, GA",309008
"Jackson, GA",3026862
"Jasper, GA",524317
"Jeff Davis, GA",443608
"Jefferson, GA",505128
"Jenkins, GA",254916
"Johnson, GA",242138
"Jones, GA",1057659
"Lamar, GA",623204
"Lanier, GA",286714
"Laurens, GA",1766737
"Lee, GA",1375456
"Liberty, GA",2226979
"Lincoln, GA",286713
"Long, GA",522643
"Lowndes, GA",4287533
"Lumpkin, GA",1248384
"McDuffie, GA",767429
"McIntosh, GA",441793
"Macon, GA",388219
"Madison, GA",1090651
"Marion, GA",242652
"Meriwether, GA",721106
"Miller, GA",247463
"Mitchell, GA",750078
"Monroe, GA",1224840
"Montgomery, GA",265405
"Morgan, GA",947354
"Murray, GA",1206786
"Muscogee, GA",8321850
"Newton, GA",3709300
"Oconee, GA",2598798
"Oglethorpe, GA",546858
"Paulding, GA",6273264
"Peach, GA",1012768
"Pickens, GA",1514833
"Pierce, GA",688677
"Pike, GA",743869
"Polk, GA",1360980
"Pulaski, GA",340496
"Putnam, GA",946158
"Quitman, GA",69316
"Rabun, GA",679363
"Randolph, GA",216394
"Richmond, GA",7476060
"Rockdale, GA",3160636
"Schley, GA",166140
"Screven, GA",468114
"Seminole, GA",339020
"Spalding, GA",2252503
"Stephens, GA",957166
"Stewart, GA",139589
"Sumter, GA",1040171
"Talbot, GA",211795
"Taliaferro, GA",52722
"Tattnall, GA",714513
"Taylor, GA",245265
"Telfair, GA",325300
"Terrell, GA",332877
"Thomas, GA",1962168
"Tift, GA",1499681
"Toombs, GA",930913
"Towns, GA",452500
"Treutlen, GA",193993
"Troup, GA",2473688
"Turner, GA",264466
"Twiggs, GA",330023
"Union, GA",884607
"Upson, GA",912087
"Walker, GA",2275234
"Walton, GA",3804151
"Ware, GA",1176748
"Warren, GA",178047
"Washington, GA",705083
"Wayne, GA",934408
"Webster, GA",82328
"Wheeler, GA",145327
"White, GA",1066140
"Whitfield, GA",3976750
"Wilcox, GA",235067
"Wilkes, GA",396910
"Wilkinson, GA",317519
"Worth, GA",693102
"Hawaii, HI",8153018
"Honolulu, HI",55814960
"Kauai, HI",3449463
"Maui + Kalawao, HI*",7848988
"Ada, ID",24450290
"Adams, ID",150698
"Bannock, ID",3200194
"Bear Lake, ID",238557
"Benewah, ID",342969
"Bingham, ID",1610789
"Blaine, ID",2473899
"Boise, ID",309202
"Bonner, ID",1793401
"Bonneville, ID",6308248
"Boundary, ID",430378
"Butte, ID",102580
"Camas, ID",45999
"Canyon, ID",7415583
"Caribou, ID",266341
"Cassia, ID",1013721
"Clark, ID",35943
"Clearwater, ID",300791
"Custer, ID",173540
"Elmore, ID",987605
"Franklin, ID",472450
"Fremont (includes Yellowstone Park), ID",451262
"Gem, ID",665534
"Gooding, ID",800230
"Idaho, ID",550290
"Jefferson, ID",1015821
"Jerome, ID",843224
"Kootenai, ID",7295195
"Latah, ID",1567738
"Lemhi, ID",320175
"Lewis, ID",173979
"Lincoln, ID",187845
"Madison, ID",1063465
"Minidoka, ID",783032
"Nez Perce, ID",1763640
"Oneida, ID",156258
"Owyhee, ID",410684
"Payette, ID",926665
"Power, ID",287608
"Shoshone, ID",447010
"Teton, ID",456047
"Twin Falls, ID",3361391
"Valley, ID",528291
"Washington, ID",351010
"Adams, IL",3020211
"Alexander, IL",208535
"Bond, IL",608760
"Boone, IL",2518057
"Brown, IL",228372
"Bureau, IL",1337236
"Calhoun, IL",201067
"Carroll, IL",622821
"Cass, IL",494122
"Champaign, IL",9214096
"Christian, IL",1337265
"Clark, IL",638510
"Clay, IL",533728
"Clinton, IL",1737562
"Coles, IL",2022924
"Cook, IL",324899242
"Crawford, IL",847193
"Cumberland, IL",764343
"DeKalb, IL",4214720
"De Witt, IL",735214
"Douglas, IL",970277
"DuPage, IL",67875863
"Edgar, IL",706142
"Edwards, IL",255521
"Effingham, IL",1684937
"Fayette, IL",755095
"Ford, IL",663393
"Franklin, IL",1427502
"Fulton, IL",1293061
"Gallatin, IL",201834
"Greene, IL",462367
"Grundy, IL",2768211
"Hamilton, IL",343289
"Hancock, IL",769325
"Hardin, IL",141757
"Henderson, IL",280357
"Henry, IL",2198329
"Iroquois, IL",1174189
"Jackson, IL",2078895
"Jasper, IL",391520
"Jefferson, IL",1471640
"Jersey, IL",903132
"Jo Daviess, IL",1004932
"Johnson, IL",443688
"Kane, IL",27227447
"Kankakee, IL",4504357
"Kendall, IL",6271515
"Knox, IL",1941161
"Lake, IL",55376202
"LaSalle, IL",4803743
"Lawrence, IL",477535
"Lee, IL",1404654
"Livingston, IL",1585708
"Logan, IL",1053807
"McDonough, IL",1126895
"McHenry, IL",16976878
"McLean, IL",8425764
"Macon, IL",4958670
"Macoupin, IL",1836511
"Madison, IL",12153074
"Marion, IL",1540733
"Marshall, IL",518561
"Mason, IL",549324
"Massac, IL",520621
"Menard, IL",558361
"Mercer, IL",717793
"Monroe, IL",1951185
"Montgomery, IL",1006779
"Morgan, IL",1321061
"Moultrie, IL",907086
"Ogle, IL",2329341
"Peoria, IL",8937147
"Perry, IL",769021
"Piatt, IL",878434
"Pike, IL",620678
"Pope, IL",120843
"Pulaski, IL",195995
"Putnam, IL",340682
"Randolph, IL",1156770
"Richland, IL",643081
"Rock Island, IL",6245081
"St. Clair, IL",11581847
"Saline, IL",926510
"Sangamon, IL",9286762
"Schuyler, IL",284572
"Scott, IL",204945
"Shelby, IL",866032
"Stark, IL",234500
"Stephenson, IL",1857652
"Tazewell, IL",6273961
"Union, IL",704099
"Vermilion, IL",2932340
"Wabash, IL",482307
"Warren, IL",688014
"Washington, IL",656951
"Wayne, IL",614459
"White, IL",654565
"Whiteside, IL",2380955
"Will, IL",36520646
"Williamson, IL",2937963
"Winnebago, IL",12199156
"Woodford, IL",1996606
"Adams, IN",1368525
"Allen, IN",17275592
"Bartholomew, IN",4323240
"Benton, IN",347122
"Blackford, IN",440952
"Boone, IN",4955573
"Brown, IN",714290
"Carroll, IN",848308
"Cass, IN",1446011
"Clark, IN",5098959
"Clay, IN",977680
"Clinton, IN",1240301
"Crawford, IN",355935
"Daviess, IN",1393614
"Dearborn, IN",2350940
"Decatur, IN",1121820
"DeKalb, IN",1900091
"Delaware, IN",4153955
"Dubois, IN",2322932
"Elkhart, IN",9449457
"Fayette, IN",921131
"Floyd, IN",4250309
"Fountain, IN",648878
"Franklin, IN",1031632
"Fulton, IN",830059
"Gibson, IN",1491995
"Grant, IN",2623505
"Greene, IN",1247198
"Hamilton, IN",24856451
"Hancock, IN",3869181
"Harrison, IN",1682403
"Hendricks, IN",8361834
"Henry, IN",1823237
"Howard, IN",3401685
"Huntington, IN",1496622
"Jackson, IN",1897209
"Jasper, IN",1450850
"Jay, IN",795608
"Jefferson, IN",1347394
"Jennings, IN",1087695
"Johnson, IN",7566920
"Knox, IN",1595416
"Kosciusko, IN",3745409
"Lagrange, IN",1672557
"Lake, IN",21758118
"LaPorte, IN",4611182
"Lawrence, IN",1845939
"Madison, IN",4862197
"Marion, IN",49476399
"Marshall, IN",1910719
"Martin, IN",386912
"Miami, IN",1225683
"Monroe, IN",6151725
"Montgomery, IN",1497946
"Morgan, IN",3059079
"Newton, IN",547744
"Noble, IN",1898608
"Ohio, IN",234374
"Orange, IN",728988
"Owen, IN",825657
"Parke, IN",599200
"Perry, IN",710441
"Pike, IN",493553
"Porter, IN",8990527
"Posey, IN",1216615
"Pulaski, IN",529637
"Putnam, IN",1387639
"Randolph, IN",921805
"Ripley, IN",1178126
"Rush, IN",737518
"St. Joseph, IN",12771040
"Scott, IN",885359
"Shelby, IN",1926669
"Spencer, IN",879925
"Starke, IN",790226
"Steuben, IN",1499146
"Sullivan, IN",728234
"Switzerland, IN",335657
"Tippecanoe, IN",7471487
"Tipton, IN",683688
"Union, IN",271315
"Vanderburgh, IN",8097611
"Vermillion, IN",570800
"Vigo, IN",4027839
"Wabash, IN",1294741
"Warren, IN",355986
"Warrick, IN",3498819
"Washington, IN",1078262
"Wayne, IN",2687334
"Wells, IN",1158935
"White, IN",1025636
"Whitley, IN",1521706
"Adair, IA",364228
"Adams, IA",210662
"Allamakee, IA",638226
"Appanoose, IA",475021
"Audubon, IA",274949
"Benton, IA",1332819
"Black Hawk, IA",5878409
"Boone, IA",1237452
"Bremer, IA",1203641
"Buchanan, IA",998516
"Buena Vista, IA",887749
"Butler, IA",658534
"Calhoun, IA",466887
"Carroll, IA",1080334
"Cass, IA",605524
"Cedar, IA",983706
"Cerro Gordo, IA",2151611
"Cherokee, IA",668143
"Chickasaw, IA",681186
"Clarke, IA",387179
"Clay, IA",791665
"Clayton, IA",840822
"Clinton, IA",2032829
"Crawford, IA",694695
"Dallas, IA",6063074
"Davis, IA",341749
"Decatur, IA",275394
"Delaware, IA",858747
"Des Moines, IA",1896732
"Dickinson, IA",1001824
"Dubuque, IA",4763024
"Emmet, IA",410522
"Fayette, IA",850092
"Floyd, IA",723182
"Franklin, IA",469669
"Fremont, IA",303756
"Greene, IA",415880
"Grundy, IA",619466
"Guthrie, IA",551958
"Hamilton, IA",798573
"Hancock, IA",558564
"Hardin, IA",813531
"Harrison, IA",632101
"Henry, IA",849091
"Howard, IA",444471
"Humboldt, IA",458682
"Ida, IA",343276
"Iowa, IA",856653
"Jackson, IA",855317
"Jasper, IA",1552162
"Jefferson, IA",718349
"Johnson, IA",8040523
"Jones, IA",888830
"Keokuk, IA",442456
"Kossuth, IA",754277
"Lee, IA",1389324
"Linn, IA",11809257
"Louisa, IA",462329
"Lucas, IA",353840
"Lyon, IA",672104
"Madison, IA",788762
"Mahaska, IA",947542
"Marion, IA",1597158
"Marshall, IA",1671678
"Mills, IA",816884
"Mitchell, IA",650443
"Monona, IA",383141
"Monroe, IA",333489
"Montgomery, IA",410867
"Muscatine, IA",1981803
"O'Brien, IA",741660
"Osceola, IA",307048
"Page, IA",621338
"Palo Alto, IA",482785
"Plymouth, IA",1370841
"Pocahontas, IA",354537
"Polk, IA",25422223
"Pottawattamie, IA",4147913
"Poweshiek, IA",823345
"Ringgold, IA",224677
"Sac, IA",518951
"Scott, IA",9230177
"Shelby, IA",590017
"Sioux, IA",1835331
"Story, IA",4065986
"Tama, IA",756806
"Taylor, IA",252159
"Union, IA",496338
"Van Buren, IA",282030
"Wapello, IA",1356372
"Warren, IA",2549933
"Washington, IA",1262176
"Wayne, IA",269031
"Webster, IA",1619731
"Winnebago, IA",446192
"Winneshiek, IA",968982
"Woodbury, IA",4373584
"Worth, IA",296185
"Wright, IA",654369
"Allen, KS",489805
"Anderson, KS",297167
"Atchison, KS",609602
"Barber, KS",189482
"Barton, KS",1151398
"Bourbon, KS",637386
"Brown, KS",428638
"Butler, KS",3056531
"Chase, KS",127779
"Chautauqua, KS",131147
"Cherokee, KS",806301
"Cheyenne, KS",117999
"Clark, KS",102649
"Clay, KS",331676
"Cloud, KS",330951
"Coffey, KS",429901
"Comanche, KS",72089
"Cowley, KS",1315821
"Crawford, KS",1651669
"Decatur, KS",119233
"Dickinson, KS",758619
"Doniphan, KS",298408
"Douglas, KS",5261764
"Edwards, KS",150935
"Elk, KS",95187
"Ellis, KS",1285060
"Ellsworth, KS",266162
"Finney, KS",1555865
"Ford, KS",1295612
"Franklin, KS",1083946
"Geary, KS",1626777
"Gove, KS",152965
"Graham, KS",116028
"Grant, KS",332961
"Gray, KS",354022
"Greeley, KS",91169
"Greenwood, KS",244587
"Hamilton, KS",147738
"Harper, KS",253542
"Harvey, KS",1433295
"Haskell, KS",237245
"Hodgeman, KS",93734
"Jackson, KS",554399
"Jefferson, KS",843135
"Jewell, KS",137864
"Johnson, KS",44572723
"Kearny, KS",193809
"Kingman, KS",308536
"Kiowa, KS",103105
"Labette, KS",827640
"Lane, KS",104763
"Leavenworth, KS",3463113
"Lincoln, KS",124116
"Linn, KS",376970
"Logan, KS",126631
"Lyon, KS",1263809
"McPherson, KS",1435173
"Marion, KS",488442
"Marshall, KS",414254
"Meade, KS",228813
"Miami, KS",1616108
"Mitchell, KS",338281
"Montgomery, KS",1168531
"Morris, KS",239687
"Morton, KS",116838
"Nemaha, KS",511786
"Neosho, KS",616402
"Ness, KS",136192
"Norton, KS",219344
"Osage, KS",664770
"Osborne, KS",161998
"Ottawa, KS",235680
"Pawnee, KS",253336
"Phillips, KS",259399
"Pottawatomie, KS",1281083
"Pratt, KS",438232
"Rawlins, KS",121197
"Reno, KS",2450369
"Republic, KS",195519
"Rice, KS",393488
"Riley, KS",3066480
"Rooks, KS",195247
"Rush, KS",137964
"Russell, KS",297857
"Saline, KS",2633996
"Scott, KS",267245
"Sedgwick, KS",26177518
"Seward, KS",810037
"Shawnee, KS",8198846
"Sheridan, KS",113085
"Sherman, KS",253275
"Smith, KS",155326
"Stafford, KS",179747
"Stanton, KS",121489
"Stevens, KS",219262
"Sumner, KS",882574
"Thomas, KS",354947
"Trego, KS",132341
"Wabaunsee, KS",346074
"Wallace, KS",72941
"Washington, KS",239568
"Wichita, KS",124241
"Wilson, KS",355159
"Woodson, KS",117172
"Wyandotte, KS",5436654
"Adair, KY",598093
"Allen, KY",676204
"Anderson, KY",885465
"Ballard, KY",290657
"Barren, KY",1579908
"Bath, KY",377178
