Place,Year,Month,Unemployment Rate
"Stanton County, Kansas",2018,January,2.5
"Stevens County, Kansas",2018,May,2.8
"Stevens County, Kansas",2018,April,2.9
"Stevens County, Kansas",2018,March,2.9
"Stevens County, Kansas",2018,February,2.8
"Stevens County, Kansas",2018,January,2.7
"Sumner County, Kansas",2018,May,3.1
"Sumner County, Kansas",2018,April,3.2
"Sumner County, Kansas",2018,March,3.6
"Sumner County, Kansas",2018,February,3.8
"Sumner County, Kansas",2018,January,3.5
"Thomas County, Kansas",2018,May,2.5
"Thomas County, Kansas",2018,April,2.5
"Thomas County, Kansas",2018,March,2.7
"Thomas County, Kansas",2018,February,2.7
"Thomas County, Kansas",2018,January,2.5
"Trego County, Kansas",2018,May,3.0
"Trego County, Kansas",2018,April,3.1
"Trego County, Kansas",2018,March,3.6
"Trego County, Kansas",2018,February,4.0
"Trego County, Kansas",2018,January,3.6
"Wabaunsee County, Kansas",2018,May,2.7
"Wabaunsee County, Kansas",2018,April,2.8
"Wabaunsee County, Kansas",2018,March,3.2
"Wabaunsee County, Kansas",2018,February,3.8
"Wabaunsee County, Kansas",2018,January,4.1
"Wallace County, Kansas",2018,May,2.4
"Wallace County, Kansas",2018,April,2.5
"Wallace County, Kansas",2018,March,2.7
"Wallace County, Kansas",2018,February,2.4
"Wallace County, Kansas",2018,January,2.3
"Washington County, Kansas",2018,May,2.4
"Washington County, Kansas",2018,April,2.5
"Washington County, Kansas",2018,March,2.9
"Washington County, Kansas",2018,February,3.3
"Washington County, Kansas",2018,January,3.0
"Wichita County, Kansas",2018,May,2.0
"Wichita County, Kansas",2018,April,2.5
"Wichita County, Kansas",2018,March,2.5
"Wichita County, Kansas",2018,February,2.6
"Wichita County, Kansas",2018,January,2.4
"Wilson County, Kansas",2018,May,4.2
"Wilson County, Kansas",2018,April,4.2
"Wilson County, Kansas",2018,March,5.1
"Wilson County, Kansas",2018,February,5.1
"Wilson County, Kansas",2018,January,4.7
"Woodson County, Kansas",2018,May,3.7
"Woodson County, Kansas",2018,April,3.8
"Woodson County, Kansas",2018,March,6.0
"Woodson County, Kansas",2018,February,4.4
"Woodson County, Kansas",2018,January,4.1
"Wyandotte County, Kansas",2018,May,4.7
"Wyandotte County, Kansas",2018,April,4.4
"Wyandotte County, Kansas",2018,March,5.1
"Wyandotte County, Kansas",2018,February,5.7
"Wyandotte County, Kansas",2018,January,6.1
"Adair County, Kentucky",2018,May,4.4
"Adair County, Kentucky",2018,April,4.5
"Adair County, Kentucky",2018,March,5.5
"Adair County, Kentucky",2018,February,5.8
"Adair County, Kentucky",2018,January,5.7
"Allen County, Kentucky",2018,May,3.2
"Allen County, Kentucky",2018,April,3.3
"Allen County, Kentucky",2018,March,4.2
"Allen County, Kentucky",2018,February,4.3
"Allen County, Kentucky",2018,January,3.9
"Anderson County, Kentucky",2018,May,3.3
"Anderson County, Kentucky",2018,April,3.1
"Anderson County, Kentucky",2018,March,3.9
"Anderson County, Kentucky",2018,February,3.9
"Anderson County, Kentucky",2018,January,3.8
"Ballard County, Kentucky",2018,May,6.9
"Ballard County, Kentucky",2018,April,7.1
"Ballard County, Kentucky",2018,March,8.1
"Ballard County, Kentucky",2018,February,8.5
"Ballard County, Kentucky",2018,January,8.4
"Barren County, Kentucky",2018,May,4.0
"Barren County, Kentucky",2018,April,3.9
"Barren County, Kentucky",2018,March,5.0
"Barren County, Kentucky",2018,February,5.2
"Barren County, Kentucky",2018,January,4.9
"Bath County, Kentucky",2018,May,5.6
"Bath County, Kentucky",2018,April,6.4
"Bath County, Kentucky",2018,March,7.6
"Bath County, Kentucky",2018,February,8.8
"Bath County, Kentucky",2018,January,9.6
"Bell County, Kentucky",2018,May,5.9
"Bell County, Kentucky",2018,April,5.8
"Bell County, Kentucky",2018,March,6.7
"Bell County, Kentucky",2018,February,7.0
"Bell County, Kentucky",2018,January,6.9
"Boone County, Kentucky",2018,May,3.1
"Boone County, Kentucky",2018,April,3.1
"Boone County, Kentucky",2018,March,3.7
"Boone County, Kentucky",2018,February,3.9
"Boone County, Kentucky",2018,January,3.8
"Bourbon County, Kentucky",2018,May,3.5
"Bourbon County, Kentucky",2018,April,3.7
"Bourbon County, Kentucky",2018,March,4.5
"Bourbon County, Kentucky",2018,February,4.6
"Bourbon County, Kentucky",2018,January,4.4
"Boyd County, Kentucky",2018,May,5.4
"Boyd County, Kentucky",2018,April,5.4
"Boyd County, Kentucky",2018,March,6.5
"Boyd County, Kentucky",2018,February,6.5
"Boyd County, Kentucky",2018,January,7.2
"Boyle County, Kentucky",2018,May,3.8
"Boyle County, Kentucky",2018,April,3.8
"Boyle County, Kentucky",2018,March,4.7
"Boyle County, Kentucky",2018,February,4.9
"Boyle County, Kentucky",2018,January,4.6
"Bracken County, Kentucky",2018,May,4.3
"Bracken County, Kentucky",2018,April,4.2
"Bracken County, Kentucky",2018,March,5.7
"Bracken County, Kentucky",2018,February,6.0
"Bracken County, Kentucky",2018,January,6.7
"Breathitt County, Kentucky",2018,May,6.5
"Breathitt County, Kentucky",2018,April,6.5
"Breathitt County, Kentucky",2018,March,7.9
"Breathitt County, Kentucky",2018,February,8.1
"Breathitt County, Kentucky",2018,January,8.4
"Breckinridge County, Kentucky",2018,May,4.8
"Breckinridge County, Kentucky",2018,April,5.0
"Breckinridge County, Kentucky",2018,March,6.2
"Breckinridge County, Kentucky",2018,February,6.3
"Breckinridge County, Kentucky",2018,January,6.2
"Bullitt County, Kentucky",2018,May,4.0
"Bullitt County, Kentucky",2018,April,3.4
"Bullitt County, Kentucky",2018,March,4.0
"Bullitt County, Kentucky",2018,February,4.1
"Bullitt County, Kentucky",2018,January,4.0
"Butler County, Kentucky",2018,May,4.7
"Butler County, Kentucky",2018,April,4.3
"Butler County, Kentucky",2018,March,5.5
"Butler County, Kentucky",2018,February,5.5
"Butler County, Kentucky",2018,January,5.8
"Caldwell County, Kentucky",2018,May,4.3
"Caldwell County, Kentucky",2018,April,4.4
"Caldwell County, Kentucky",2018,March,5.2
"Caldwell County, Kentucky",2018,February,5.6
"Caldwell County, Kentucky",2018,January,5.1
"Calloway County, Kentucky",2018,May,3.5
"Calloway County, Kentucky",2018,April,3.3
"Calloway County, Kentucky",2018,March,4.1
"Calloway County, Kentucky",2018,February,4.5
"Calloway County, Kentucky",2018,January,4.3
"Campbell County, Kentucky",2018,May,3.0
"Campbell County, Kentucky",2018,April,2.9
"Campbell County, Kentucky",2018,March,3.5
"Campbell County, Kentucky",2018,February,3.7
"Campbell County, Kentucky",2018,January,3.5
"Carlisle County, Kentucky",2018,May,4.9
"Carlisle County, Kentucky",2018,April,5.3
"Carlisle County, Kentucky",2018,March,5.9
"Carlisle County, Kentucky",2018,February,6.1
"Carlisle County, Kentucky",2018,January,6.2
"Carroll County, Kentucky",2018,May,3.9
"Carroll County, Kentucky",2018,April,3.8
"Carroll County, Kentucky",2018,March,4.4
"Carroll County, Kentucky",2018,February,4.7
"Carroll County, Kentucky",2018,January,4.8
"Carter County, Kentucky",2018,May,7.5
"Carter County, Kentucky",2018,April,8.0
"Carter County, Kentucky",2018,March,9.5
"Carter County, Kentucky",2018,February,10.6
"Carter County, Kentucky",2018,January,14.4
"Casey County, Kentucky",2018,May,4.1
"Casey County, Kentucky",2018,April,4.3
"Casey County, Kentucky",2018,March,5.2
"Casey County, Kentucky",2018,February,5.2
"Casey County, Kentucky",2018,January,4.8
"Christian County, Kentucky",2018,May,4.8
"Christian County, Kentucky",2018,April,4.6
"Christian County, Kentucky",2018,March,5.6
"Christian County, Kentucky",2018,February,5.6
"Christian County, Kentucky",2018,January,5.5
"Clark County, Kentucky",2018,May,3.8
"Clark County, Kentucky",2018,April,3.8
"Clark County, Kentucky",2018,March,4.5
"Clark County, Kentucky",2018,February,4.6
"Clark County, Kentucky",2018,January,4.5
"Clay County, Kentucky",2018,May,6.5
"Clay County, Kentucky",2018,April,6.2
"Clay County, Kentucky",2018,March,7.6
"Clay County, Kentucky",2018,February,7.7
"Clay County, Kentucky",2018,January,7.6
"Clinton County, Kentucky",2018,May,4.8
"Clinton County, Kentucky",2018,April,4.8
"Clinton County, Kentucky",2018,March,5.8
"Clinton County, Kentucky",2018,February,6.0
"Clinton County, Kentucky",2018,January,5.8
"Crittenden County, Kentucky",2018,May,4.9
"Crittenden County, Kentucky",2018,April,4.9
"Crittenden County, Kentucky",2018,March,5.9
"Crittenden County, Kentucky",2018,February,5.9
"Crittenden County, Kentucky",2018,January,6.0
"Cumberland County, Kentucky",2018,May,3.6
"Cumberland County, Kentucky",2018,April,3.7
"Cumberland County, Kentucky",2018,March,4.8
"Cumberland County, Kentucky",2018,February,5.8
"Cumberland County, Kentucky",2018,January,6.6
"Daviess County, Kentucky",2018,May,3.7
"Daviess County, Kentucky",2018,April,3.6
"Daviess County, Kentucky",2018,March,4.4
"Daviess County, Kentucky",2018,February,4.6
"Daviess County, Kentucky",2018,January,4.5
"Edmonson County, Kentucky",2018,May,4.8
"Edmonson County, Kentucky",2018,April,4.6
"Edmonson County, Kentucky",2018,March,6.1
"Edmonson County, Kentucky",2018,February,6.5
"Edmonson County, Kentucky",2018,January,6.5
"Elliott County, Kentucky",2018,May,7.8
"Elliott County, Kentucky",2018,April,8.6
"Elliott County, Kentucky",2018,March,10.1
"Elliott County, Kentucky",2018,February,12.1
"Elliott County, Kentucky",2018,January,13.3
"Estill County, Kentucky",2018,May,5.0
"Estill County, Kentucky",2018,April,4.9
"Estill County, Kentucky",2018,March,6.3
"Estill County, Kentucky",2018,February,6.6
"Estill County, Kentucky",2018,January,6.5
"Fayette County, Kentucky",2018,May,3.1
"Fayette County, Kentucky",2018,April,3.0
"Fayette County, Kentucky",2018,March,3.6
"Fayette County, Kentucky",2018,February,3.6
"Fayette County, Kentucky",2018,January,3.4
"Fleming County, Kentucky",2018,May,4.5
"Fleming County, Kentucky",2018,April,4.9
"Fleming County, Kentucky",2018,March,6.1
"Fleming County, Kentucky",2018,February,6.6
"Fleming County, Kentucky",2018,January,6.4
"Floyd County, Kentucky",2018,May,6.0
"Floyd County, Kentucky",2018,April,5.9
"Floyd County, Kentucky",2018,March,7.3
"Floyd County, Kentucky",2018,February,7.4
"Floyd County, Kentucky",2018,January,7.6
"Franklin County, Kentucky",2018,May,3.4
"Franklin County, Kentucky",2018,April,3.3
"Franklin County, Kentucky",2018,March,4.0
"Franklin County, Kentucky",2018,February,4.0
"Franklin County, Kentucky",2018,January,3.9
"Fulton County, Kentucky",2018,May,4.7
"Fulton County, Kentucky",2018,April,5.0
"Fulton County, Kentucky",2018,March,6.2
"Fulton County, Kentucky",2018,February,6.3
"Fulton County, Kentucky",2018,January,6.1
"Gallatin County, Kentucky",2018,May,3.8
"Gallatin County, Kentucky",2018,April,4.0
"Gallatin County, Kentucky",2018,March,4.4
"Gallatin County, Kentucky",2018,February,4.5
"Gallatin County, Kentucky",2018,January,4.2
"Garrard County, Kentucky",2018,May,4.1
"Garrard County, Kentucky",2018,April,4.0
"Garrard County, Kentucky",2018,March,4.9
"Garrard County, Kentucky",2018,February,4.8
"Garrard County, Kentucky",2018,January,4.6
"Grant County, Kentucky",2018,May,3.9
"Grant County, Kentucky",2018,April,3.9
"Grant County, Kentucky",2018,March,4.8
"Grant County, Kentucky",2018,February,5.1
"Grant County, Kentucky",2018,January,5.1
"Graves County, Kentucky",2018,May,4.6
"Graves County, Kentucky",2018,April,4.6
"Graves County, Kentucky",2018,March,5.5
"Graves County, Kentucky",2018,February,5.6
"Graves County, Kentucky",2018,January,5.5
"Grayson County, Kentucky",2018,May,4.1
"Grayson County, Kentucky",2018,April,4.0
"Grayson County, Kentucky",2018,March,5.2
"Grayson County, Kentucky",2018,February,5.4
"Grayson County, Kentucky",2018,January,5.7
"Green County, Kentucky",2018,May,4.0
"Green County, Kentucky",2018,April,3.8
"Green County, Kentucky",2018,March,4.8
"Green County, Kentucky",2018,February,4.4
"Green County, Kentucky",2018,January,4.2
"Greenup County, Kentucky",2018,May,5.8
"Greenup County, Kentucky",2018,April,6.0
"Greenup County, Kentucky",2018,March,7.3
"Greenup County, Kentucky",2018,February,7.7
"Greenup County, Kentucky",2018,January,8.7
"Hancock County, Kentucky",2018,May,3.8
"Hancock County, Kentucky",2018,April,3.8
"Hancock County, Kentucky",2018,March,4.9
"Hancock County, Kentucky",2018,February,5.0
"Hancock County, Kentucky",2018,January,4.9
"Hardin County, Kentucky",2018,May,3.8
"Hardin County, Kentucky",2018,April,3.6
"Hardin County, Kentucky",2018,March,4.4
"Hardin County, Kentucky",2018,February,4.4
"Hardin County, Kentucky",2018,January,4.3
"Harlan County, Kentucky",2018,May,7.1
"Harlan County, Kentucky",2018,April,6.6
"Harlan County, Kentucky",2018,March,7.8
"Harlan County, Kentucky",2018,February,7.9
"Harlan County, Kentucky",2018,January,7.8
"Harrison County, Kentucky",2018,May,3.9
"Harrison County, Kentucky",2018,April,3.7
"Harrison County, Kentucky",2018,March,4.4
"Harrison County, Kentucky",2018,February,4.5
"Harrison County, Kentucky",2018,January,4.1
"Hart County, Kentucky",2018,May,3.6
"Hart County, Kentucky",2018,April,3.5
"Hart County, Kentucky",2018,March,4.2
"Hart County, Kentucky",2018,February,4.5
"Hart County, Kentucky",2018,January,4.5
"Henderson County, Kentucky",2018,May,3.6
"Henderson County, Kentucky",2018,April,3.5
"Henderson County, Kentucky",2018,March,4.2
"Henderson County, Kentucky",2018,February,4.2
"Henderson County, Kentucky",2018,January,3.9
"Henry County, Kentucky",2018,May,3.8
"Henry County, Kentucky",2018,April,3.4
"Henry County, Kentucky",2018,March,4.0
"Henry County, Kentucky",2018,February,4.2
"Henry County, Kentucky",2018,January,4.1
"Hickman County, Kentucky",2018,May,5.0
"Hickman County, Kentucky",2018,April,5.5
"Hickman County, Kentucky",2018,March,6.6
"Hickman County, Kentucky",2018,February,7.5
"Hickman County, Kentucky",2018,January,7.1
"Hopkins County, Kentucky",2018,May,4.4
"Hopkins County, Kentucky",2018,April,4.4
"Hopkins County, Kentucky",2018,March,5.2
"Hopkins County, Kentucky",2018,February,5.1
"Hopkins County, Kentucky",2018,January,5.0
"Jackson County, Kentucky",2018,May,6.2
"Jackson County, Kentucky",2018,April,6.3
"Jackson County, Kentucky",2018,March,7.3
"Jackson County, Kentucky",2018,February,8.1
"Jackson County, Kentucky",2018,January,7.6
"Jefferson County, Kentucky",2018,May,4.1
"Jefferson County, Kentucky",2018,April,3.6
"Jefferson County, Kentucky",2018,March,4.2
"Jefferson County, Kentucky",2018,February,4.1
"Jefferson County, Kentucky",2018,January,4.0
"Jessamine County, Kentucky",2018,May,3.4
"Jessamine County, Kentucky",2018,April,3.3
"Jessamine County, Kentucky",2018,March,4.0
"Jessamine County, Kentucky",2018,February,4.0
"Jessamine County, Kentucky",2018,January,3.7
"Johnson County, Kentucky",2018,May,6.1
"Johnson County, Kentucky",2018,April,6.2
"Johnson County, Kentucky",2018,March,7.5
"Johnson County, Kentucky",2018,February,8.3
"Johnson County, Kentucky",2018,January,8.2
"Kenton County, Kentucky",2018,May,3.2
"Kenton County, Kentucky",2018,April,3.1
"Kenton County, Kentucky",2018,March,3.8
"Kenton County, Kentucky",2018,February,3.9
"Kenton County, Kentucky",2018,January,3.9
"Knott County, Kentucky",2018,May,6.1
"Knott County, Kentucky",2018,April,6.2
"Knott County, Kentucky",2018,March,7.5
"Knott County, Kentucky",2018,February,7.6
"Knott County, Kentucky",2018,January,7.1
"Knox County, Kentucky",2018,May,5.8
"Knox County, Kentucky",2018,April,5.8
"Knox County, Kentucky",2018,March,6.8
"Knox County, Kentucky",2018,February,7.0
"Knox County, Kentucky",2018,January,6.8
"Larue County, Kentucky",2018,May,4.0
"Larue County, Kentucky",2018,April,3.7
"Larue County, Kentucky",2018,March,4.7
"Larue County, Kentucky",2018,February,4.9
"Larue County, Kentucky",2018,January,4.8
"Laurel County, Kentucky",2018,May,4.6
"Laurel County, Kentucky",2018,April,4.5
"Laurel County, Kentucky",2018,March,5.5
"Laurel County, Kentucky",2018,February,5.5
"Laurel County, Kentucky",2018,January,5.4
"Lawrence County, Kentucky",2018,May,6.5
"Lawrence County, Kentucky",2018,April,6.5
"Lawrence County, Kentucky",2018,March,7.9
"Lawrence County, Kentucky",2018,February,8.2
"Lawrence County, Kentucky",2018,January,8.9
"Lee County, Kentucky",2018,May,5.6
"Lee County, Kentucky",2018,April,5.7
"Lee County, Kentucky",2018,March,7.0
"Lee County, Kentucky",2018,February,7.7
"Lee County, Kentucky",2018,January,7.8
"Leslie County, Kentucky",2018,May,6.7
"Leslie County, Kentucky",2018,April,6.4
"Leslie County, Kentucky",2018,March,7.7
"Leslie County, Kentucky",2018,February,7.7
"Leslie County, Kentucky",2018,January,7.8
"Letcher County, Kentucky",2018,May,6.1
"Letcher County, Kentucky",2018,April,6.0
"Letcher County, Kentucky",2018,March,6.8
"Letcher County, Kentucky",2018,February,6.8
"Letcher County, Kentucky",2018,January,6.8
"Lewis County, Kentucky",2018,May,7.0
"Lewis County, Kentucky",2018,April,8.2
"Lewis County, Kentucky",2018,March,9.3
"Lewis County, Kentucky",2018,February,10.3
"Lewis County, Kentucky",2018,January,11.5
"Lincoln County, Kentucky",2018,May,4.4
"Lincoln County, Kentucky",2018,April,4.4
"Lincoln County, Kentucky",2018,March,5.4
"Lincoln County, Kentucky",2018,February,5.6
"Lincoln County, Kentucky",2018,January,5.7
"Livingston County, Kentucky",2018,May,6.6
"Livingston County, Kentucky",2018,April,7.0
"Livingston County, Kentucky",2018,March,8.1
"Livingston County, Kentucky",2018,February,8.4
"Livingston County, Kentucky",2018,January,8.3
"Logan County, Kentucky",2018,May,3.6
"Logan County, Kentucky",2018,April,3.5
"Logan County, Kentucky",2018,March,4.3
"Logan County, Kentucky",2018,February,4.4
"Logan County, Kentucky",2018,January,4.1
"Lyon County, Kentucky",2018,May,4.2
"Lyon County, Kentucky",2018,April,4.4
"Lyon County, Kentucky",2018,March,5.8
"Lyon County, Kentucky",2018,February,6.3
"Lyon County, Kentucky",2018,January,5.9
"McCracken County, Kentucky",2018,May,5.4
"McCracken County, Kentucky",2018,April,5.4
"McCracken County, Kentucky",2018,March,6.5
"McCracken County, Kentucky",2018,February,6.4
"McCracken County, Kentucky",2018,January,6.4
"McCreary County, Kentucky",2018,May,5.5
"McCreary County, Kentucky",2018,April,6.0
"McCreary County, Kentucky",2018,March,6.9
"McCreary County, Kentucky",2018,February,7.5
"McCreary County, Kentucky",2018,January,6.8
"McLean County, Kentucky",2018,May,4.3
"McLean County, Kentucky",2018,April,4.5
"McLean County, Kentucky",2018,March,5.7
"McLean County, Kentucky",2018,February,6.1
"McLean County, Kentucky",2018,January,5.8
"Madison County, Kentucky",2018,May,3.4
"Madison County, Kentucky",2018,April,3.4
"Madison County, Kentucky",2018,March,4.1
"Madison County, Kentucky",2018,February,4.2
"Madison County, Kentucky",2018,January,4.0
"Magoffin County, Kentucky",2018,May,11.6
"Magoffin County, Kentucky",2018,April,11.9
"Magoffin County, Kentucky",2018,March,14.6
"Magoffin County, Kentucky",2018,February,15.6
"Magoffin County, Kentucky",2018,January,16.7
"Marion County, Kentucky",2018,May,3.3
"Marion County, Kentucky",2018,April,3.1
"Marion County, Kentucky",2018,March,3.7
"Marion County, Kentucky",2018,February,3.8
"Marion County, Kentucky",2018,January,3.6
"Marshall County, Kentucky",2018,May,4.9
"Marshall County, Kentucky",2018,April,5.0
"Marshall County, Kentucky",2018,March,6.3
"Marshall County, Kentucky",2018,February,6.6
"Marshall County, Kentucky",2018,January,6.7
"Martin County, Kentucky",2018,May,6.0
"Martin County, Kentucky",2018,April,6.2
"Martin County, Kentucky",2018,March,7.5
"Martin County, Kentucky",2018,February,7.4
"Martin County, Kentucky",2018,January,7.0
"Mason County, Kentucky",2018,May,4.4
"Mason County, Kentucky",2018,April,4.6
"Mason County, Kentucky",2018,March,5.6
"Mason County, Kentucky",2018,February,6.0
"Mason County, Kentucky",2018,January,6.0
"Meade County, Kentucky",2018,May,4.4
"Meade County, Kentucky",2018,April,4.2
"Meade County, Kentucky",2018,March,4.9
"Meade County, Kentucky",2018,February,4.9
"Meade County, Kentucky",2018,January,5.0
"Menifee County, Kentucky",2018,May,6.1
"Menifee County, Kentucky",2018,April,7.6
"Menifee County, Kentucky",2018,March,9.5
"Menifee County, Kentucky",2018,February,10.7
"Menifee County, Kentucky",2018,January,10.9
"Mercer County, Kentucky",2018,May,4.0
"Mercer County, Kentucky",2018,April,3.9
"Mercer County, Kentucky",2018,March,4.8
"Mercer County, Kentucky",2018,February,4.9
"Mercer County, Kentucky",2018,January,4.9
"Metcalfe County, Kentucky",2018,May,3.9
"Metcalfe County, Kentucky",2018,April,3.8
"Metcalfe County, Kentucky",2018,March,4.6
"Metcalfe County, Kentucky",2018,February,4.9
"Metcalfe County, Kentucky",2018,January,4.4
"Monroe County, Kentucky",2018,May,3.6
"Monroe County, Kentucky",2018,April,3.7
"Monroe County, Kentucky",2018,March,4.5
"Monroe County, Kentucky",2018,February,4.6
"Monroe County, Kentucky",2018,January,3.9
"Montgomery County, Kentucky",2018,May,5.2
"Montgomery County, Kentucky",2018,April,5.8
"Montgomery County, Kentucky",2018,March,6.8
"Montgomery County, Kentucky",2018,February,7.5
"Montgomery County, Kentucky",2018,January,7.1
"Morgan County, Kentucky",2018,May,5.3
"Morgan County, Kentucky",2018,April,5.9
"Morgan County, Kentucky",2018,March,7.8
"Morgan County, Kentucky",2018,February,8.6
"Morgan County, Kentucky",2018,January,8.8
"Muhlenberg County, Kentucky",2018,May,6.4
"Muhlenberg County, Kentucky",2018,April,6.4
"Muhlenberg County, Kentucky",2018,March,7.6
"Muhlenberg County, Kentucky",2018,February,7.9
"Muhlenberg County, Kentucky",2018,January,8.1
"Nelson County, Kentucky",2018,May,4.0
"Nelson County, Kentucky",2018,April,3.6
"Nelson County, Kentucky",2018,March,4.2
"Nelson County, Kentucky",2018,February,4.4
"Nelson County, Kentucky",2018,January,4.4
"Nicholas County, Kentucky",2018,May,4.1
"Nicholas County, Kentucky",2018,April,4.2
"Nicholas County, Kentucky",2018,March,4.9
"Nicholas County, Kentucky",2018,February,5.2
"Nicholas County, Kentucky",2018,January,5.4
"Ohio County, Kentucky",2018,May,5.4
"Ohio County, Kentucky",2018,April,5.5
"Ohio County, Kentucky",2018,March,7.0
"Ohio County, Kentucky",2018,February,6.7
"Ohio County, Kentucky",2018,January,6.6
"Oldham County, Kentucky",2018,May,3.4
"Oldham County, Kentucky",2018,April,2.9
"Oldham County, Kentucky",2018,March,3.5
"Oldham County, Kentucky",2018,February,3.6
"Oldham County, Kentucky",2018,January,3.3
"Owen County, Kentucky",2018,May,4.4
"Owen County, Kentucky",2018,April,4.1
"Owen County, Kentucky",2018,March,4.6
"Owen County, Kentucky",2018,February,4.8
"Owen County, Kentucky",2018,January,4.6
"Owsley County, Kentucky",2018,May,6.7
"Owsley County, Kentucky",2018,April,6.5
"Owsley County, Kentucky",2018,March,7.8
"Owsley County, Kentucky",2018,February,8.6
"Owsley County, Kentucky",2018,January,7.5
"Pendleton County, Kentucky",2018,May,3.8
"Pendleton County, Kentucky",2018,April,3.8
"Pendleton County, Kentucky",2018,March,4.8
"Pendleton County, Kentucky",2018,February,5.1
"Pendleton County, Kentucky",2018,January,5.1
"Perry County, Kentucky",2018,May,5.8
"Perry County, Kentucky",2018,April,5.6
"Perry County, Kentucky",2018,March,6.8
"Perry County, Kentucky",2018,February,6.8
"Perry County, Kentucky",2018,January,6.7
"Pike County, Kentucky",2018,May,5.3
"Pike County, Kentucky",2018,April,5.1
"Pike County, Kentucky",2018,March,6.3
"Pike County, Kentucky",2018,February,6.2
"Pike County, Kentucky",2018,January,6.3
"Powell County, Kentucky",2018,May,5.3
"Powell County, Kentucky",2018,April,5.7
"Powell County, Kentucky",2018,March,6.9
"Powell County, Kentucky",2018,February,7.2
"Powell County, Kentucky",2018,January,6.7
"Pulaski County, Kentucky",2018,May,4.8
"Pulaski County, Kentucky",2018,April,4.8
"Pulaski County, Kentucky",2018,March,5.8
"Pulaski County, Kentucky",2018,February,5.8
"Pulaski County, Kentucky",2018,January,5.7
"Robertson County, Kentucky",2018,May,4.0
"Robertson County, Kentucky",2018,April,4.3
"Robertson County, Kentucky",2018,March,5.6
"Robertson County, Kentucky",2018,February,6.3
"Robertson County, Kentucky",2018,January,5.9
"Rockcastle County, Kentucky",2018,May,4.4
"Rockcastle County, Kentucky",2018,April,4.5
"Rockcastle County, Kentucky",2018,March,5.5
"Rockcastle County, Kentucky",2018,February,6.0
"Rockcastle County, Kentucky",2018,January,5.9
"Rowan County, Kentucky",2018,May,4.5
"Rowan County, Kentucky",2018,April,4.8
"Rowan County, Kentucky",2018,March,5.4
"Rowan County, Kentucky",2018,February,6.2
"Rowan County, Kentucky",2018,January,5.7
"Russell County, Kentucky",2018,May,5.1
"Russell County, Kentucky",2018,April,5.3
"Russell County, Kentucky",2018,March,6.8
"Russell County, Kentucky",2018,February,6.8
"Russell County, Kentucky",2018,January,6.6
"Scott County, Kentucky",2018,May,3.0
"Scott County, Kentucky",2018,April,3.0
"Scott County, Kentucky",2018,March,3.6
"Scott County, Kentucky",2018,February,3.7
"Scott County, Kentucky",2018,January,3.5
"Shelby County, Kentucky",2018,May,3.3
"Shelby County, Kentucky",2018,April,2.9
"Shelby County, Kentucky",2018,March,3.6
"Shelby County, Kentucky",2018,February,3.7
"Shelby County, Kentucky",2018,January,3.5
"Simpson County, Kentucky",2018,May,3.6
"Simpson County, Kentucky",2018,April,3.4
"Simpson County, Kentucky",2018,March,4.2
"Simpson County, Kentucky",2018,February,4.4
"Simpson County, Kentucky",2018,January,4.1
"Spencer County, Kentucky",2018,May,3.9
"Spencer County, Kentucky",2018,April,3.0
"Spencer County, Kentucky",2018,March,3.7
"Spencer County, Kentucky",2018,February,3.8
"Spencer County, Kentucky",2018,January,3.8
"Taylor County, Kentucky",2018,May,3.7
"Taylor County, Kentucky",2018,April,3.7
"Taylor County, Kentucky",2018,March,4.5
"Taylor County, Kentucky",2018,February,4.4
"Taylor County, Kentucky",2018,January,4.3
"Todd County, Kentucky",2018,May,3.7
"Todd County, Kentucky",2018,April,3.7
"Todd County, Kentucky",2018,March,4.5
"Todd County, Kentucky",2018,February,4.7
"Todd County, Kentucky",2018,January,4.6
"Trigg County, Kentucky",2018,May,4.5
"Trigg County, Kentucky",2018,April,4.5
"Trigg County, Kentucky",2018,March,5.7
"Trigg County, Kentucky",2018,February,5.8
"Trigg County, Kentucky",2018,January,5.7
"Trimble County, Kentucky",2018,May,4.4
"Trimble County, Kentucky",2018,April,3.7
"Trimble County, Kentucky",2018,March,4.3
"Trimble County, Kentucky",2018,February,4.6
"Trimble County, Kentucky",2018,January,4.4
"Union County, Kentucky",2018,May,4.6
"Union County, Kentucky",2018,April,4.7
"Union County, Kentucky",2018,March,5.6
"Union County, Kentucky",2018,February,5.7
"Union County, Kentucky",2018,January,5.3
"Warren County, Kentucky",2018,May,3.3
"Warren County, Kentucky",2018,April,3.2
"Warren County, Kentucky",2018,March,3.9
"Warren County, Kentucky",2018,February,4.2
"Warren County, Kentucky",2018,January,4.0
"Washington County, Kentucky",2018,May,3.4
"Washington County, Kentucky",2018,April,3.2
"Washington County, Kentucky",2018,March,3.8
"Washington County, Kentucky",2018,February,3.8
"Washington County, Kentucky",2018,January,3.9
"Wayne County, Kentucky",2018,May,6.9
"Wayne County, Kentucky",2018,April,6.9
"Wayne County, Kentucky",2018,March,8.3
"Wayne County, Kentucky",2018,February,8.1
"Wayne County, Kentucky",2018,January,6.6
"Webster County, Kentucky",2018,May,4.0
"Webster County, Kentucky",2018,April,4.3
"Webster County, Kentucky",2018,March,5.4
"Webster County, Kentucky",2018,February,5.3
