Place,Year,Month,Unemployment Rate
Utah,2018,May,2.7
Utah,2018,April,2.9
Utah,2018,March,3.2
Utah,2018,February,3.4
Utah,2018,January,3.3
Vermont,2018,May,2.3
Vermont,2018,April,2.8
Vermont,2018,March,2.9
Vermont,2018,February,3.0
Vermont,2018,January,3.2
Virginia,2018,May,2.9
Virginia,2018,April,2.8
Virginia,2018,March,3.3
Virginia,2018,February,3.4
Virginia,2018,January,3.6
Washington,2018,May,4.0
Washington,2018,April,4.2
Washington,2018,March,4.8
Washington,2018,February,5.1
Washington,2018,January,5.2
West Virginia,2018,May,4.8
West Virginia,2018,April,5.3
West Virginia,2018,March,6.1
West Virginia,2018,February,6.5
West Virginia,2018,January,6.1
Wisconsin,2018,May,2.8
Wisconsin,2018,April,2.9
Wisconsin,2018,March,3.3
Wisconsin,2018,February,3.4
Wisconsin,2018,January,3.1
Wyoming,2018,May,3.8
Wyoming,2018,April,4.2
Wyoming,2018,March,4.5
Wyoming,2018,February,4.7
Wyoming,2018,January,5.0
Puerto Rico,2018,May,9.3
Puerto Rico,2018,April,9.4
Puerto Rico,2018,March,9.8
Puerto Rico,2018,February,10.0
Puerto Rico,2018,January,10.7
"Autauga County, Alabama",2018,May,3.2
"Autauga County, Alabama",2018,April,3.2
"Autauga County, Alabama",2018,March,3.7
"Autauga County, Alabama",2018,February,4.0
"Autauga County, Alabama",2018,January,4.0
"Baldwin County, Alabama",2018,May,3.1
"Baldwin County, Alabama",2018,April,3.2
"Baldwin County, Alabama",2018,March,3.8
"Baldwin County, Alabama",2018,February,4.3
"Baldwin County, Alabama",2018,January,4.4
"Barbour County, Alabama",2018,May,4.6
"Barbour County, Alabama",2018,April,4.7
"Barbour County, Alabama",2018,March,5.1
"Barbour County, Alabama",2018,February,5.6
"Barbour County, Alabama",2018,January,5.7
"Bibb County, Alabama",2018,May,3.8
"Bibb County, Alabama",2018,April,3.5
"Bibb County, Alabama",2018,March,3.9
"Bibb County, Alabama",2018,February,4.2
"Bibb County, Alabama",2018,January,4.2
"Blount County, Alabama",2018,May,3.1
"Blount County, Alabama",2018,April,3.1
"Blount County, Alabama",2018,March,3.6
"Blount County, Alabama",2018,February,3.8
"Blount County, Alabama",2018,January,3.9
"Bullock County, Alabama",2018,May,3.5
"Bullock County, Alabama",2018,April,3.9
"Bullock County, Alabama",2018,March,4.3
"Bullock County, Alabama",2018,February,4.6
"Bullock County, Alabama",2018,January,5.5
"Butler County, Alabama",2018,May,4.1
"Butler County, Alabama",2018,April,4.2
"Butler County, Alabama",2018,March,4.9
"Butler County, Alabama",2018,February,5.4
"Butler County, Alabama",2018,January,5.6
"Calhoun County, Alabama",2018,May,4.2
"Calhoun County, Alabama",2018,April,4.2
"Calhoun County, Alabama",2018,March,4.7
"Calhoun County, Alabama",2018,February,5.1
"Calhoun County, Alabama",2018,January,5.0
"Chambers County, Alabama",2018,May,3.6
"Chambers County, Alabama",2018,April,3.5
"Chambers County, Alabama",2018,March,3.9
"Chambers County, Alabama",2018,February,4.3
"Chambers County, Alabama",2018,January,4.2
"Cherokee County, Alabama",2018,May,3.1
"Cherokee County, Alabama",2018,April,3.0
"Cherokee County, Alabama",2018,March,3.5
"Cherokee County, Alabama",2018,February,3.9
"Cherokee County, Alabama",2018,January,4.0
"Chilton County, Alabama",2018,May,3.3
"Chilton County, Alabama",2018,April,3.3
"Chilton County, Alabama",2018,March,3.7
"Chilton County, Alabama",2018,February,4.1
"Chilton County, Alabama",2018,January,4.1
"Choctaw County, Alabama",2018,May,5.0
"Choctaw County, Alabama",2018,April,4.9
"Choctaw County, Alabama",2018,March,5.8
"Choctaw County, Alabama",2018,February,6.2
"Choctaw County, Alabama",2018,January,6.6
"Clarke County, Alabama",2018,May,6.4
"Clarke County, Alabama",2018,April,6.4
"Clarke County, Alabama",2018,March,7.6
"Clarke County, Alabama",2018,February,8.1
"Clarke County, Alabama",2018,January,8.6
"Clay County, Alabama",2018,May,3.3
"Clay County, Alabama",2018,April,3.3
"Clay County, Alabama",2018,March,4.3
"Clay County, Alabama",2018,February,4.0
"Clay County, Alabama",2018,January,4.2
"Cleburne County, Alabama",2018,May,3.8
"Cleburne County, Alabama",2018,April,3.8
"Cleburne County, Alabama",2018,March,4.2
"Cleburne County, Alabama",2018,February,4.7
"Cleburne County, Alabama",2018,January,4.9
"Coffee County, Alabama",2018,May,3.4
"Coffee County, Alabama",2018,April,3.5
"Coffee County, Alabama",2018,March,3.9
"Coffee County, Alabama",2018,February,4.3
"Coffee County, Alabama",2018,January,4.4
"Colbert County, Alabama",2018,May,4.0
"Colbert County, Alabama",2018,April,4.1
"Colbert County, Alabama",2018,March,4.7
"Colbert County, Alabama",2018,February,5.2
"Colbert County, Alabama",2018,January,5.3
"Conecuh County, Alabama",2018,May,4.7
"Conecuh County, Alabama",2018,April,4.8
"Conecuh County, Alabama",2018,March,5.2
"Conecuh County, Alabama",2018,February,5.6
"Conecuh County, Alabama",2018,January,5.6
"Coosa County, Alabama",2018,May,3.9
"Coosa County, Alabama",2018,April,3.7
"Coosa County, Alabama",2018,March,4.2
"Coosa County, Alabama",2018,February,4.5
"Coosa County, Alabama",2018,January,4.7
"Covington County, Alabama",2018,May,3.8
"Covington County, Alabama",2018,April,4.0
"Covington County, Alabama",2018,March,4.6
"Covington County, Alabama",2018,February,5.1
"Covington County, Alabama",2018,January,5.3
"Crenshaw County, Alabama",2018,May,3.4
"Crenshaw County, Alabama",2018,April,3.5
"Crenshaw County, Alabama",2018,March,4.3
"Crenshaw County, Alabama",2018,February,4.5
"Crenshaw County, Alabama",2018,January,4.7
"Cullman County, Alabama",2018,May,2.9
"Cullman County, Alabama",2018,April,2.8
"Cullman County, Alabama",2018,March,3.3
"Cullman County, Alabama",2018,February,3.7
"Cullman County, Alabama",2018,January,3.7
"Dale County, Alabama",2018,May,3.7
"Dale County, Alabama",2018,April,3.6
"Dale County, Alabama",2018,March,4.3
"Dale County, Alabama",2018,February,4.6
"Dale County, Alabama",2018,January,4.6
"Dallas County, Alabama",2018,May,5.3
"Dallas County, Alabama",2018,April,5.4
"Dallas County, Alabama",2018,March,6.0
"Dallas County, Alabama",2018,February,6.7
"Dallas County, Alabama",2018,January,7.0
"DeKalb County, Alabama",2018,May,3.3
"DeKalb County, Alabama",2018,April,3.3
"DeKalb County, Alabama",2018,March,4.0
"DeKalb County, Alabama",2018,February,4.2
"DeKalb County, Alabama",2018,January,4.4
"Elmore County, Alabama",2018,May,3.1
"Elmore County, Alabama",2018,April,3.0
"Elmore County, Alabama",2018,March,3.5
"Elmore County, Alabama",2018,February,3.9
"Elmore County, Alabama",2018,January,3.9
"Escambia County, Alabama",2018,May,3.9
"Escambia County, Alabama",2018,April,4.0
"Escambia County, Alabama",2018,March,4.5
"Escambia County, Alabama",2018,February,5.0
"Escambia County, Alabama",2018,January,4.9
"Etowah County, Alabama",2018,May,3.7
"Etowah County, Alabama",2018,April,3.7
"Etowah County, Alabama",2018,March,4.2
"Etowah County, Alabama",2018,February,4.6
"Etowah County, Alabama",2018,January,4.6
"Fayette County, Alabama",2018,May,3.6
"Fayette County, Alabama",2018,April,3.7
"Fayette County, Alabama",2018,March,4.3
"Fayette County, Alabama",2018,February,4.7
"Fayette County, Alabama",2018,January,4.8
"Franklin County, Alabama",2018,May,3.4
"Franklin County, Alabama",2018,April,3.2
"Franklin County, Alabama",2018,March,3.9
"Franklin County, Alabama",2018,February,4.1
"Franklin County, Alabama",2018,January,4.3
"Geneva County, Alabama",2018,May,3.6
"Geneva County, Alabama",2018,April,3.6
"Geneva County, Alabama",2018,March,4.1
"Geneva County, Alabama",2018,February,4.5
"Geneva County, Alabama",2018,January,4.6
"Greene County, Alabama",2018,May,6.6
"Greene County, Alabama",2018,April,5.9
"Greene County, Alabama",2018,March,6.5
"Greene County, Alabama",2018,February,6.9
"Greene County, Alabama",2018,January,7.1
"Hale County, Alabama",2018,May,5.0
"Hale County, Alabama",2018,April,4.4
"Hale County, Alabama",2018,March,5.1
"Hale County, Alabama",2018,February,5.7
"Hale County, Alabama",2018,January,5.8
"Henry County, Alabama",2018,May,3.9
"Henry County, Alabama",2018,April,3.8
"Henry County, Alabama",2018,March,4.4
"Henry County, Alabama",2018,February,5.0
"Henry County, Alabama",2018,January,4.8
"Houston County, Alabama",2018,May,3.6
"Houston County, Alabama",2018,April,3.6
"Houston County, Alabama",2018,March,4.1
"Houston County, Alabama",2018,February,4.4
"Houston County, Alabama",2018,January,4.5
"Jackson County, Alabama",2018,May,3.5
"Jackson County, Alabama",2018,April,3.6
"Jackson County, Alabama",2018,March,4.2
"Jackson County, Alabama",2018,February,4.6
"Jackson County, Alabama",2018,January,4.7
"Jefferson County, Alabama",2018,May,3.3
"Jefferson County, Alabama",2018,April,3.3
"Jefferson County, Alabama",2018,March,3.8
"Jefferson County, Alabama",2018,February,4.1
"Jefferson County, Alabama",2018,January,4.1
"Lamar County, Alabama",2018,May,3.4
"Lamar County, Alabama",2018,April,3.4
"Lamar County, Alabama",2018,March,3.8
"Lamar County, Alabama",2018,February,4.1
"Lamar County, Alabama",2018,January,4.2
"Lauderdale County, Alabama",2018,May,3.7
"Lauderdale County, Alabama",2018,April,3.7
"Lauderdale County, Alabama",2018,March,4.2
"Lauderdale County, Alabama",2018,February,4.5
"Lauderdale County, Alabama",2018,January,4.8
"Lawrence County, Alabama",2018,May,3.8
"Lawrence County, Alabama",2018,April,3.8
"Lawrence County, Alabama",2018,March,4.4
"Lawrence County, Alabama",2018,February,4.8
"Lawrence County, Alabama",2018,January,4.8
"Lee County, Alabama",2018,May,3.3
"Lee County, Alabama",2018,April,3.2
"Lee County, Alabama",2018,March,3.8
"Lee County, Alabama",2018,February,4.0
"Lee County, Alabama",2018,January,4.1
"Limestone County, Alabama",2018,May,3.1
"Limestone County, Alabama",2018,April,3.1
"Limestone County, Alabama",2018,March,3.7
"Limestone County, Alabama",2018,February,4.0
"Limestone County, Alabama",2018,January,4.2
"Lowndes County, Alabama",2018,May,6.3
"Lowndes County, Alabama",2018,April,6.7
"Lowndes County, Alabama",2018,March,7.4
"Lowndes County, Alabama",2018,February,7.8
"Lowndes County, Alabama",2018,January,8.1
"Macon County, Alabama",2018,May,4.6
"Macon County, Alabama",2018,April,4.4
"Macon County, Alabama",2018,March,5.2
"Macon County, Alabama",2018,February,5.3
"Macon County, Alabama",2018,January,5.6
"Madison County, Alabama",2018,May,3.1
"Madison County, Alabama",2018,April,3.1
"Madison County, Alabama",2018,March,3.5
"Madison County, Alabama",2018,February,3.8
"Madison County, Alabama",2018,January,3.9
"Marengo County, Alabama",2018,May,4.5
"Marengo County, Alabama",2018,April,4.3
"Marengo County, Alabama",2018,March,4.9
"Marengo County, Alabama",2018,February,5.6
"Marengo County, Alabama",2018,January,5.7
"Marion County, Alabama",2018,May,3.6
"Marion County, Alabama",2018,April,3.5
"Marion County, Alabama",2018,March,4.2
"Marion County, Alabama",2018,February,4.5
"Marion County, Alabama",2018,January,4.5
"Marshall County, Alabama",2018,May,3.0
"Marshall County, Alabama",2018,April,3.0
"Marshall County, Alabama",2018,March,3.5
"Marshall County, Alabama",2018,February,3.9
"Marshall County, Alabama",2018,January,3.8
"Mobile County, Alabama",2018,May,4.2
"Mobile County, Alabama",2018,April,4.3
"Mobile County, Alabama",2018,March,4.8
"Mobile County, Alabama",2018,February,5.3
"Mobile County, Alabama",2018,January,5.3
"Monroe County, Alabama",2018,May,5.4
"Monroe County, Alabama",2018,April,5.5
"Monroe County, Alabama",2018,March,6.5
"Monroe County, Alabama",2018,February,6.8
"Monroe County, Alabama",2018,January,6.8
"Montgomery County, Alabama",2018,May,3.5
"Montgomery County, Alabama",2018,April,3.6
"Montgomery County, Alabama",2018,March,4.1
"Montgomery County, Alabama",2018,February,4.4
"Montgomery County, Alabama",2018,January,4.3
"Morgan County, Alabama",2018,May,3.2
"Morgan County, Alabama",2018,April,3.2
"Morgan County, Alabama",2018,March,3.7
"Morgan County, Alabama",2018,February,4.1
"Morgan County, Alabama",2018,January,4.1
"Perry County, Alabama",2018,May,6.2
"Perry County, Alabama",2018,April,5.5
"Perry County, Alabama",2018,March,6.3
"Perry County, Alabama",2018,February,6.4
"Perry County, Alabama",2018,January,6.8
"Pickens County, Alabama",2018,May,4.3
"Pickens County, Alabama",2018,April,3.9
"Pickens County, Alabama",2018,March,4.6
"Pickens County, Alabama",2018,February,5.2
"Pickens County, Alabama",2018,January,5.1
"Pike County, Alabama",2018,May,3.8
"Pike County, Alabama",2018,April,4.0
"Pike County, Alabama",2018,March,4.8
"Pike County, Alabama",2018,February,4.8
"Pike County, Alabama",2018,January,5.1
"Randolph County, Alabama",2018,May,3.5
"Randolph County, Alabama",2018,April,3.6
"Randolph County, Alabama",2018,March,4.1
"Randolph County, Alabama",2018,February,4.4
"Randolph County, Alabama",2018,January,4.5
"Russell County, Alabama",2018,May,3.6
"Russell County, Alabama",2018,April,3.5
"Russell County, Alabama",2018,March,4.1
"Russell County, Alabama",2018,February,4.5
"Russell County, Alabama",2018,January,4.6
"St. Clair County, Alabama",2018,May,3.1
"St. Clair County, Alabama",2018,April,3.1
"St. Clair County, Alabama",2018,March,3.6
"St. Clair County, Alabama",2018,February,3.9
"St. Clair County, Alabama",2018,January,3.9
"Shelby County, Alabama",2018,May,2.6
"Shelby County, Alabama",2018,April,2.6
"Shelby County, Alabama",2018,March,2.9
"Shelby County, Alabama",2018,February,3.1
"Shelby County, Alabama",2018,January,3.1
"Sumter County, Alabama",2018,May,5.5
"Sumter County, Alabama",2018,April,5.3
"Sumter County, Alabama",2018,March,5.9
"Sumter County, Alabama",2018,February,6.1
"Sumter County, Alabama",2018,January,6.3
"Talladega County, Alabama",2018,May,3.8
"Talladega County, Alabama",2018,April,3.9
"Talladega County, Alabama",2018,March,4.4
"Talladega County, Alabama",2018,February,4.9
"Talladega County, Alabama",2018,January,5.0
"Tallapoosa County, Alabama",2018,May,3.7
"Tallapoosa County, Alabama",2018,April,3.7
"Tallapoosa County, Alabama",2018,March,4.2
"Tallapoosa County, Alabama",2018,February,4.5
"Tallapoosa County, Alabama",2018,January,4.6
"Tuscaloosa County, Alabama",2018,May,3.6
"Tuscaloosa County, Alabama",2018,April,3.1
"Tuscaloosa County, Alabama",2018,March,3.7
"Tuscaloosa County, Alabama",2018,February,3.9
"Tuscaloosa County, Alabama",2018,January,4.1
"Walker County, Alabama",2018,May,3.7
