State,pi_mean_2011,pi_mean_2012,pi_mean_2013,pi_mean_2014,pi_mean_2015,pi_mean_2016
CA,29541862.137931034,31289017.827586208,31739400.879310343,33719275.96551724,36156027.155172415,37778241.56896552
TX,4231724.279527559,4499557.051181102,4621052.81496063,4951336.980314961,5043976.909448819,5024923.582677165
WI,3330011.1142857145,3470572.742857143,3488184.1285714284,3621579.0714285714,3777542.657142857,3844672.1285714284
